,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,690.0,4.848722875976096,1.525288325736717,0.0,1.554,1.612,0.0,1.368,1.574,1.787,2.082,2.474,1.486,0.0
1,692.0,4.806664730570148,0.0,1.38,1.804,1.181,1.708,1.346,0.0,2.206,2.044,3.025,2.259,1.767
2,694.0,4.778461168590125,1.141468312830888,1.462,0.0,0.0,1.376,2.603,2.344,0.0,2.32,2.401,3.09,2.099
3,698.0,4.720187077902779,0.0,0.0,1.47,0.0,0.0,3.459,1.994,0.0,0.0,3.837,2.22,2.718
4,700.0,4.689300957922461,1.929823606069465,0.0,1.106,2.001,0.0,1.557,0.0,0.0,0.0,0.0,1.457,1.576
5,702.0,4.644673480769162,2.6242565575953205,1.277,1.882,0.0,0.0,0.0,3.973,2.237,4.121,3.138,1.386,2.761
6,704.0,4.622237616993765,2.12719185254612,2.895,1.666,0.0,0.0,0.0,1.89,3.289,4.194,2.442,1.665,1.862
7,706.0,4.577088592204344,3.4336644155565703,1.904,1.355,0.897,1.77,1.697,2.325,4.032,0.0,2.672,1.4,3.458
8,708.0,4.552132323035337,3.702198709797907,1.548,1.763,1.449,1.43,1.228,1.516,2.095,2.298,2.192,1.852,4.63
9,711.0,4.501814915026364,4.15399148707122,2.479,1.914,1.76,0.0,1.34,1.677,2.708,3.673,0.0,0.0,2.274
10,712.0,4.48942163564651,3.626698564016966,1.857,1.748,2.01,0.0,1.873,1.813,4.048,0.0,0.0,2.606,2.725
11,714.0,4.451988877090198,3.23660264051784,3.497,3.233,1.658,1.791,1.193,3.633,3.121,0.0,3.498,0.0,3.46
12,716.0,4.425636673797188,3.636642320991416,3.774,1.43,1.537,2.066,1.441,2.205,1.776,0.0,3.255,0.0,2.809
13,718.0,4.384017668022734,3.146844600226036,2.897,2.305,2.747,1.178,1.079,1.311,1.827,0.0,0.0,0.0,1.455
14,720.0,4.356077168016794,2.6888500125340142,2.728,1.758,2.129,1.098,1.087,1.812,1.334,1.936,2.662,1.789,3.353
15,722.0,4.328017673411098,2.513813792667892,3.039,4.898,1.388,1.01,1.18,0.994,0.0,1.801,2.615,2.645,3.466
16,724.0,4.282832647088027,2.592939071265491,2.933,3.361,2.567,1.663,1.39,1.041,1.414,3.031,3.287,2.086,3.06
17,726.0,4.251573740401522,3.529196692479805,2.848,5.295,3.295,2.339,1.453,1.631,0.0,2.389,2.875,2.118,3.146
18,728.0,4.218546832503941,3.0582307142612466,1.934,1.697,2.974,2.794,2.31,1.457,0.0,0.0,2.066,1.226,3.632
19,731.0,4.183756010091789,2.567085340217191,3.744,1.72,2.15,2.305,2.198,2.349,1.26,1.917,1.62,2.063,2.997
20,732.0,4.166252624258075,2.711815204883586,2.832,1.687,2.89,3.59,1.259,2.07,1.198,2.201,3.135,2.939,1.712
21,734.0,4.129379642199092,3.310940284210952,1.96,1.908,2.466,2.076,2.383,0.0,2.272,2.463,3.181,1.242,1.962
22,736.0,4.090517576788267,3.4372991492770306,2.065,1.934,2.999,2.316,2.444,2.88,0.0,2.322,2.91,1.741,1.62
23,739.0,4.051387253346471,1.685935013997102,2.041,2.565,4.739,3.068,2.615,3.28,1.822,1.106,0.0,1.641,3.213
24,740.0,4.031717654255528,2.0345886285811154,2.559,2.969,5.168,2.002,3.289,3.59,1.642,1.737,1.557,1.448,2.19
25,742.0,3.9921703326700086,1.9058426974997364,2.604,1.749,3.561,3.417,4.29,1.861,3.597,1.344,0.0,2.214,2.147
26,744.0,3.9703123977296446,2.047982827567422,0.0,2.198,2.565,3.234,3.024,2.609,2.791,0.0,1.439,1.807,3.822
27,746.0,3.926362164091506,2.077512278387826,2.757,2.895,2.393,2.459,1.475,3.552,1.311,0.0,0.0,1.144,1.849
28,748.0,3.904236747925157,1.861260645452363,1.834,3.559,4.621,2.067,1.82,3.117,1.699,0.995,0.0,1.306,2.377
29,751.0,3.859786935916354,3.5566444135156057,2.807,3.879,0.0,1.654,2.113,3.647,4.595,2.039,1.583,1.034,1.428
30,752.0,3.837429450196412,3.1316283107785416,4.158,2.651,1.691,1.666,2.201,2.751,2.627,0.0,0.0,2.206,2.74
31,755.0,3.79021115421336,2.607050832981812,3.014,2.126,2.277,1.997,2.223,3.663,1.74,1.419,2.563,2.135,0.0
32,756.0,3.765320039697933,1.570206045045546,1.742,2.769,3.069,2.391,3.302,3.156,1.698,2.127,1.933,1.654,0.0
33,758.0,3.740344240283843,1.6639393438615189,3.12,3.317,3.38,0.0,1.734,2.44,2.198,2.348,2.979,1.7,1.364
34,761.0,3.6900396490094094,2.321829633553022,0.0,2.867,1.376,1.475,4.486,4.033,1.764,2.235,3.067,3.059,2.846
35,763.0,3.664744843454031,0.0,0.599,2.145,1.435,0.0,3.375,2.227,1.333,2.528,3.22,2.59,2.612
36,764.0,3.639333229466553,1.3440911205326278,0.0,0.0,3.669,5.372,3.079,1.965,0.0,3.768,2.619,2.485,1.889
