,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.3890160619597189,0.0,2.874,0.0,1.539,0.925,0.371,0.744,1.632,0.0,1.012,0.0
1,604.0,6.257021370782395,0.0,0.0,0.398,0.795,5.138,0.81,0.0,0.507,0.0,0.856,1.447,1.247
2,608.0,6.198067183682969,0.0,1.651,0.774,2.456,0.499,0.0,0.795,0.0,0.0,2.33,0.93,0.814
3,610.0,6.166826674452984,0.7691536315663393,0.908,2.74,1.016,1.233,0.879,0.0,0.0,2.387,0.83,0.963,0.969
4,612.0,6.133891202463207,0.0,1.151,0.721,1.186,0.0,1.124,1.859,0.0,0.0,0.687,3.171,1.037
5,614.0,6.100719280344512,3.837642206507764,0.738,1.353,1.368,0.793,0.0,1.599,0.676,0.0,0.0,0.383,0.795
6,616.0,6.067346103953526,0.4775673033230919,0.0,0.84,0.0,1.805,1.062,0.692,1.764,0.646,0.0,0.0,0.572
7,618.0,6.032072868913223,1.9613911295828408,0.414,0.23,1.073,0.0,0.725,2.111,0.883,0.0,0.0,0.0,0.983
8,620.0,5.99483202664493,1.8279536283856144,1.014,1.647,0.886,0.0,0.774,1.329,0.74,1.316,1.109,0.0,1.423
9,622.0,5.957324003606695,0.0,0.0,0.0,0.0,0.969,2.093,0.641,0.6,2.793,0.636,1.718,2.254
10,624.0,5.936563990996856,3.563468200623519,0.0,0.0,1.039,0.838,1.166,1.796,0.67,0.78,1.576,0.0,1.381
11,626.0,5.894811696137232,1.1015723896172325,0.459,2.466,0.438,0.0,0.0,1.306,0.0,0.0,1.029,0.559,0.0
12,629.0,5.85272746861963,0.623323113007499,0.467,1.214,0.626,0.0,0.419,0.337,0.816,1.507,1.348,1.33,0.0
13,630.0,5.829423163299706,2.4456672369622785,0.764,0.0,1.538,0.671,2.015,0.0,0.343,0.609,3.901,0.0,0.0
14,632.0,5.806019824366869,1.0723482030301743,2.33,0.774,0.457,1.637,1.735,1.567,0.0,0.0,0.436,3.312,0.0
15,634.0,5.758847580686565,1.5101361721415247,0.834,0.656,0.0,1.017,0.0,0.0,2.642,1.193,0.0,0.0,0.394
16,636.0,5.735113676933862,0.3889782309068725,0.978,0.849,0.0,0.0,1.226,0.353,0.47,2.136,1.15,0.841,0.0
17,639.0,5.687351268637958,0.0,1.003,0.352,0.559,2.353,0.892,0.0,1.389,0.0,0.401,1.672,2.039
18,640.0,5.674282004200254,0.0,0.0,0.0,0.464,0.843,1.545,0.691,0.679,0.0,0.348,0.512,3.518
19,642.0,5.63487750476342,0.4858215184976519,4.369,2.956,1.787,1.333,0.596,0.599,0.0,1.175,0.827,1.378,0.523
