,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.6517298844952187,0.578,0.868,1.22,0.0,0.0,0.72,1.319,0.0,0.913,0.958,0.0
1,604.0,6.257021370782395,1.5248605888150095,1.17,0.856,1.002,1.574,0.996,1.137,0.811,1.207,1.18,1.295,0.0
2,608.0,6.198067183682969,1.7709840472788554,1.916,1.484,0.859,0.983,0.768,0.0,0.915,0.0,0.0,1.584,2.133
3,610.0,6.166826674452984,1.4434837589861411,1.866,1.539,1.642,1.115,1.03,0.0,0.0,1.287,0.0,0.916,0.85
4,612.0,6.133891202463207,0.8818428830700658,0.0,1.652,1.861,0.0,2.124,0.0,0.0,0.0,0.879,0.0,1.616
5,614.0,6.100719280344512,1.2339944529012552,0.0,1.072,2.465,2.152,0.0,2.236,1.111,0.0,0.0,1.044,1.435
6,616.0,6.067346103953526,1.112093133301102,0.654,0.614,0.0,0.0,2.003,1.874,0.0,1.495,0.0,0.0,0.0
7,618.0,6.032072868913223,1.1514852039327677,0.762,0.89,0.0,0.57,0.0,1.788,1.968,1.095,0.0,0.974,0.658
8,620.0,5.99483202664493,1.111710420528902,0.0,0.906,0.0,0.0,1.032,0.0,0.727,0.985,0.881,0.0,2.235
9,622.0,5.957324003606695,1.8224501038283352,1.21,0.0,0.0,0.0,1.628,1.319,1.157,1.138,0.772,0.0,1.201
10,624.0,5.936563990996856,1.1643642077144642,2.408,0.0,0.0,0.934,2.048,1.637,1.652,1.462,0.836,1.349,1.395
11,626.0,5.894811696137232,0.0,0.953,1.969,0.0,0.0,1.535,0.0,1.597,1.389,1.421,1.071,0.0
12,629.0,5.85272746861963,1.8577230694271245,1.254,0.938,1.362,0.977,0.0,0.851,0.0,1.728,1.801,1.57,1.891
13,630.0,5.829423163299706,3.253813769436429,1.736,0.0,0.0,1.047,0.0,0.0,0.638,0.983,1.835,1.803,0.0
