,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.946,0.863,1.296,1.24,0.611,1.175,1.5330000000000001,0.0,0.0,1.035,0.769,0.618
1,604.0,6.257021370782392,0.0,1.225,0.958,0.0,1.154,1.164,1.526,1.88,0.0,1.883,1.118,1.161
2,608.0,6.198067183682968,1.138,1.125,0.0,1.3230000000000002,2.265,0.0,1.804,2.136,1.96,1.358,1.024,0.9890000000000001
3,610.0,6.166826674452982,1.002,0.0,1.237,0.0,1.311,2.3,1.5,1.931,1.5419999999999998,1.148,0.909,0.988
4,612.0,6.133891202463207,0.0,0.0,1.0659999999999998,0.0,1.841,2.319,0.0,3.6239999999999997,1.47,0.787,1.011,0.9740000000000001
5,614.0,6.100719280344513,0.0,1.006,0.0,1.442,3.12,0.0,0.0,1.59,0.0,0.976,1.15,0.0
6,616.0,6.067346103953526,0.0,0.7120000000000001,0.0,0.0,2.073,2.1109999999999998,0.0,1.705,1.307,0.0,0.0,0.0
7,618.0,6.032072868913223,0.0,0.0,0.0,0.0,1.615,1.3730000000000002,0.0,0.931,0.0,1.161,0.0,1.28
8,620.0,5.9948320266449295,0.0,0.9,0.0,0.0,0.89,1.6680000000000001,1.66,1.179,1.347,1.393,1.86,1.652
9,622.0,5.957324003606695,1.19,0.0,0.0,1.567,1.612,1.68,1.617,0.954,1.17,1.6869999999999998,1.871,1.416
10,624.0,5.9365639909968575,1.0659999999999998,1.245,2.333,1.242,0.0,0.0,0.0,0.941,2.506,1.8559999999999999,2.0180000000000002,1.585
11,626.0,5.894811696137233,0.0,0.0,0.0,2.018,0.0,1.212,0.0,0.0,1.895,1.6869999999999998,1.644,1.121
12,629.0,5.85272746861963,1.516,1.168,1.422,1.047,0.862,0.0,0.0,1.974,1.761,0.0,1.973,0.0
13,630.0,5.829423163299706,0.0,0.0,0.0,0.988,0.73,0.998,1.861,1.899,0.0,5.597,2.099,2.008
14,632.0,5.806019824366869,0.0,0.0,0.0,0.7959999999999999,0.0,0.9490000000000001,2.269,0.0,7.138999999999999,3.002,2.349,1.162
15,634.0,5.758847580686567,1.183,1.652,0.968,0.713,0.628,1.34,2.472,3.796,2.737,2.28,0.742,0.93
16,636.0,5.735113676933862,0.0,0.996,0.9309999999999999,0.0,0.0,1.649,0.0,4.05,3.2060000000000004,1.178,1.199,1.3359999999999999
17,639.0,5.687351268637958,1.57,0.989,1.186,0.949,1.107,2.901,2.478,1.404,0.0,0.0,1.062,0.0
18,640.0,5.674282004200253,1.4780000000000002,1.218,1.2919999999999998,1.3219999999999998,1.841,2.178,2.197,0.0,2.302,1.505,0.665,1.595
19,642.0,5.63487750476342,1.646,1.244,1.37,1.118,1.66,0.0,0.0,0.0,0.0,1.861,1.4340000000000002,1.6230000000000002
20,644.0,5.607096887071627,1.65,0.0,1.56,2.444,1.619,0.0,0.0,1.2770000000000001,0.0,0.73,0.0,0.0
21,646.0,5.563197273837341,1.1840000000000002,1.27,1.839,1.469,1.5419999999999998,1.187,0.0,0.0,0.0,1.4340000000000002,0.0,0.0
22,648.0,5.532228479342441,1.371,2.22,0.0,0.0,0.9109999999999999,0.775,0.0,0.0,0.0,1.974,0.0,1.6130000000000002
23,650.0,5.499580009312712,1.31,1.389,1.128,1.402,0.0,0.0,0.0,0.787,0.0,2.342,0.0,0.0
24,652.0,5.4667717357004335,1.01,1.338,1.245,1.14,0.0,0.0,0.0,1.092,1.6280000000000001,1.995,1.3780000000000001,1.524
25,654.0,5.4320458104529035,2.614,1.823,1.3630000000000002,0.905,0.0,0.0,1.186,1.295,2.461,1.456,1.827,1.571
26,656.0,5.395473989249358,1.975,1.714,0.0,1.3159999999999998,0.98,0.8440000000000001,1.182,1.3840000000000001,0.0,0.0,0.0,3.1010000000000004
27,658.0,5.377073878453867,1.71,1.795,0.0,1.002,0.899,1.189,1.425,0.0,2.169,1.696,1.899,2.492
28,660.0,5.338220697323426,1.571,1.401,1.405,1.147,1.4980000000000002,0.0,1.064,0.0,0.0,1.3330000000000002,1.0659999999999998,1.2009999999999998
29,660.0,5.338220697323426,1.571,1.401,1.405,1.147,1.4980000000000002,0.0,1.064,0.0,0.0,1.3330000000000002,1.0659999999999998,1.2009999999999998
30,662.0,5.297253698952362,0.0,1.8780000000000001,0.0,1.018,0.0,1.235,1.944,1.175,0.0,0.594,0.688,1.347
31,664.0,5.276641111204341,1.555,0.0,0.0,1.6369999999999998,1.595,1.856,0.0,1.259,0.0,0.78,1.121,1.204
32,666.0,5.235158502612744,1.464,3.0410000000000004,1.454,1.7080000000000002,1.325,0.779,0.0,1.845,1.516,0.0,0.0,0.0
33,668.0,5.214323161439596,2.353,1.956,1.224,1.235,0.989,0.8270000000000001,1.359,1.367,1.523,1.0,1.264,0.0
34,670.0,5.170266337889607,1.605,1.35,1.002,1.962,0.0,0.0,1.31,1.456,0.852,1.063,1.193,0.9690000000000001
35,672.0,5.147046563163453,2.226,0.991,2.672,2.182,0.0,0.7140000000000001,0.0,0.916,1.053,1.257,1.252,0.6779999999999999
36,674.0,5.100322315894825,1.6640000000000001,1.8319999999999999,0.0,0.0,1.063,0.0,0.0,0.0,2.4459999999999997,1.432,1.063,1.358
37,676.0,5.076783952863184,1.885,0.0,1.835,0.0,0.0,0.855,1.516,0.0,2.216,1.774,1.036,1.389
38,679.0,5.024693916499314,1.087,1.6909999999999998,2.035,1.8159999999999998,0.828,1.349,1.43,0.0,2.01,1.4980000000000002,1.331,1.187
39,681.0,4.9984422681030605,2.047,1.724,0.0,0.0,1.355,1.318,0.0,1.5419999999999998,1.411,1.537,1.33,1.215
40,682.0,4.972098961617661,1.776,0.0,2.8569999999999998,0.991,1.6219999999999999,1.979,0.0,1.176,1.228,1.6380000000000001,1.192,1.754
41,684.0,4.945595796763422,1.3159999999999998,2.194,1.554,1.844,1.307,1.891,1.5490000000000002,1.177,1.203,1.308,1.543,1.14
42,687.0,4.892248159980066,0.665,1.2009999999999998,0.0,1.472,0.0,1.2790000000000001,1.089,0.0,0.0,0.79,0.638,1.272
43,689.0,4.862669314823597,1.481,1.185,1.431,1.158,0.0,1.197,1.656,1.721,1.564,1.31,1.089,1.811
44,690.0,4.8487228759760965,1.214,1.36,0.0,1.337,0.0,1.006,2.528,0.0,0.0,0.0,1.296,1.953
45,692.0,4.806664730570148,1.148,0.0,0.0,0.895,1.72,2.083,0.0,1.941,2.23,0.0,1.643,1.486
46,694.0,4.778461168590125,1.306,1.469,0.0,0.0,1.89,0.0,3.045,2.049,1.986,0.0,1.403,1.43
47,698.0,4.720187077902779,0.821,0.0,2.825,2.5660000000000003,2.097,0.0,2.149,1.314,1.596,0.0,1.812,1.6369999999999998
48,704.0,4.622237616993765,1.449,0.0,0.0,1.09,1.314,1.401,0.0,3.342,2.6289999999999996,1.9280000000000002,1.3159999999999998,1.423
49,706.0,4.577088592204344,0.0,1.571,1.375,0.0,1.143,1.648,1.876,2.037,2.279,1.635,0.0,1.555
50,708.0,4.5521323230353365,1.966,1.218,1.3230000000000002,1.274,0.627,1.298,1.713,1.5719999999999998,1.2670000000000001,0.0,0.0,1.0590000000000002
51,711.0,4.501814915026364,0.0,1.376,0.0,2.5980000000000003,1.829,1.171,1.6569999999999998,2.692,0.0,1.958,0.0,0.0
52,712.0,4.48942163564651,1.193,0.0,2.056,2.491,1.548,1.254,2.106,1.915,1.8,1.91,0.0,0.0
53,714.0,4.451988877090199,1.235,2.511,0.0,1.7919999999999998,2.16,2.075,3.096,2.864,2.766,2.845,0.0,1.501
54,716.0,4.425636673797189,1.999,1.048,1.77,2.316,3.576,2.121,2.84,1.902,2.5269999999999997,2.72,1.859,2.222
55,718.0,4.384017668022734,0.0,0.0,2.373,3.13,2.633,0.0,1.234,1.406,1.476,2.6710000000000003,2.2840000000000003,1.056
56,720.0,4.356077168016793,1.496,1.5859999999999999,1.777,2.588,1.317,1.807,1.9409999999999998,1.347,2.85,2.221,0.0,1.531
57,722.0,4.328017673411098,1.6130000000000002,1.24,0.0,1.413,1.873,1.933,1.586,0.0,0.0,0.0,0.0,1.551
58,724.0,4.282832647088027,1.535,1.672,0.0,3.0410000000000004,2.487,2.103,1.178,1.962,1.6230000000000002,0.0,1.376,0.0
59,726.0,4.251573740401522,2.372,2.074,0.0,2.521,2.415,1.81,0.0,2.5860000000000003,1.7519999999999998,0.0,1.612,0.0
60,728.0,4.218546832503941,2.064,0.0,1.943,0.0,2.531,1.63,2.396,2.655,1.266,1.8969999999999998,1.4069999999999998,1.82
61,731.0,4.1837560100917885,1.487,2.277,2.259,1.953,1.917,2.116,1.768,2.11,2.065,2.221,0.0,1.624
62,732.0,4.1662526242580755,2.315,2.801,2.3369999999999997,2.228,2.721,1.85,1.7169999999999999,2.438,2.51,3.415,2.1790000000000003,1.176
63,734.0,4.129379642199092,1.872,2.576,1.935,2.218,1.621,1.42,3.17,3.665,4.003,2.767,1.394,1.934
64,736.0,4.090517576788267,4.184,3.397,2.59,1.871,2.068,2.943,4.7989999999999995,4.119,2.989,2.8569999999999998,1.953,2.151
65,739.0,4.051387253346471,2.463,2.825,2.464,3.688,2.486,4.144,4.306,3.314,4.234,3.612,2.144,2.506
66,740.0,4.031717654255528,1.786,2.6239999999999997,3.283,2.574,2.627,3.9,3.234,2.575,4.664,3.8310000000000004,1.5,2.056
67,742.0,3.9921703326700086,0.698,1.388,2.672,2.445,2.096,4.043,3.3110000000000004,2.8510000000000004,0.0,1.682,2.126,1.401
68,744.0,3.9703123977296446,0.8590000000000001,1.479,2.336,1.2930000000000001,1.617,3.5780000000000003,3.174,2.005,0.0,2.627,1.8230000000000002,1.504
69,746.0,3.9263621640915054,1.788,0.0,1.215,1.6909999999999998,3.614,2.975,3.565,1.913,1.801,2.67,1.759,1.598
70,748.0,3.904236747925157,0.985,0.958,1.5219999999999998,2.069,3.11,4.008,2.351,2.884,2.617,2.21,1.617,1.306
71,751.0,3.8597869359163535,1.315,1.831,2.3080000000000003,3.497,4.021,3.2880000000000003,2.235,2.234,3.649,2.708,1.4780000000000002,1.355
72,752.0,3.837429450196413,1.337,1.996,2.84,3.4989999999999997,2.7489999999999997,2.9339999999999997,2.043,2.563,3.867,2.218,1.9769999999999999,1.399
73,755.0,3.79021115421336,1.58,2.466,2.267,2.9160000000000004,2.099,2.447,2.769,3.698,5.3420000000000005,2.0,1.416,1.094
74,756.0,3.7653200396979334,4.84,3.2089999999999996,2.233,2.475,2.867,2.295,2.667,4.003,3.531,1.501,0.986,2.312
75,758.0,3.7403442402838434,3.729,2.353,1.981,2.097,1.812,1.5530000000000002,2.053,3.835,3.577,1.704,2.853,2.898
76,761.0,3.6900396490094094,1.723,2.698,1.095,1.464,1.11,2.026,2.495,4.247,5.897,3.9530000000000003,2.657,2.033
77,763.0,3.6647448434540313,3.176,2.254,1.957,1.4240000000000002,1.296,2.475,3.495,4.186,5.394,3.941,2.191,1.6230000000000002
78,764.0,3.6393332294665535,2.8169999999999997,2.16,2.378,1.479,1.835,3.511,2.7960000000000003,3.145,6.041,2.991,1.431,2.022
79,766.0,3.611243287317557,1.777,1.82,1.75,1.599,0.0,2.06,2.782,4.723,3.347,2.883,1.7619999999999998,1.619
80,768.0,3.5830408109660965,1.605,1.403,0.9990000000000001,1.771,2.1519999999999997,2.445,4.244,4.309,2.256,2.714,1.354,1.4869999999999999
81,770.0,3.5406764130714983,1.652,1.454,1.89,2.977,3.813,3.327,3.968,3.431,2.201,1.596,1.768,1.5730000000000002
82,772.0,3.5122938050100214,2.07,1.294,2.331,4.809,3.593,2.437,3.627,2.8539999999999996,1.65,2.485,2.025,1.7080000000000002
83,774.0,3.480915262767496,1.808,0.0,3.82,4.271,2.854,1.983,2.317,1.878,2.4330000000000003,1.953,2.977,2.286
84,776.0,3.4493642568072502,1.956,1.3969999999999998,5.545,2.552,1.841,2.246,2.495,2.6489999999999996,2.932,2.2880000000000003,3.139,3.5780000000000003
85,778.0,3.4176414378115427,1.5219999999999998,3.395,3.2110000000000003,1.51,1.544,1.652,3.084,2.934,2.381,4.081,3.156,2.903
86,780.0,3.384160105599035,2.897,1.483,1.469,1.213,1.453,2.545,3.5660000000000003,3.642,6.537000000000001,4.544,4.25,4.159
87,782.0,3.3488592409068514,2.8160000000000003,1.197,1.194,1.949,1.91,2.44,2.443,4.666,6.063,5.464,6.192,2.799
88,784.0,3.313394622547607,3.0410000000000004,1.29,1.3769999999999998,1.604,1.653,2.217,3.917,4.789,4.942,6.102,5.856,2.167
89,786.0,3.2955764075645178,3.627,0.945,1.806,2.197,1.648,2.317,3.639,4.96,9.455,7.302,3.415,3.372
90,788.0,3.2597687795980548,1.905,2.241,1.68,2.053,2.69,2.9789999999999996,4.0280000000000005,10.745,5.992000000000001,3.0239999999999996,3.207,3.7710000000000004
91,790.0,3.2201947666628414,2.334,2.9,2.29,1.791,0.0,2.805,4.75,5.042,2.81,3.457,4.077,2.247
92,792.0,3.2002516129970497,3.0389999999999997,3.8160000000000003,2.351,1.6540000000000001,1.767,2.7510000000000003,3.5410000000000004,3.343,2.949,5.449,2.7960000000000003,2.364
93,794.0,3.1602677614677805,0.0,5.74,1.679,1.632,1.95,3.369,2.491,2.809,5.936,7.8439999999999985,4.182,3.698
