,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.9224437753749968,1.151,1.002,1.394,0.0,0.0,1.1,1.3,0.0,5.174,0.91,0.0
1,604.0,6.257021370782395,7.051139049992956,1.189,0.896,1.109,2.001,1.1,3.311,0.842,2.352,1.273,1.195,0.0
2,608.0,6.198067183682969,1.8949095143986283,2.769,2.93,0.859,1.256,1.012,0.0,1.309,0.0,0.0,1.69,2.748
3,610.0,6.166826674452984,1.6821943376008128,2.025,1.923,1.571,1.184,1.489,0.0,0.0,1.736,0.0,1.598,1.087
4,612.0,6.133891202463207,0.8888615297093463,0.0,1.685,2.264,0.0,2.256,0.0,0.0,0.0,0.919,0.0,4.007
5,614.0,6.100719280344512,1.2837650982543796,0.0,1.095,5.569,7.34,0.0,2.791,52.945,0.0,0.0,7.822,1.488
6,616.0,6.067346103953526,1.4130332886761143,0.724,0.683,0.0,0.0,2.059,1.754,0.0,1.55,0.0,0.0,0.0
7,618.0,6.032072868913223,1.301145661125346,0.869,1.033,0.0,0.68,0.0,4.161,2.173,1.668,0.0,1.015,1.316
8,620.0,5.99483202664493,2.074270434681494,0.0,0.944,0.0,0.0,1.068,0.0,0.835,1.185,0.888,0.0,6.217
9,622.0,5.957324003606695,3.133082878835526,17.424,0.0,0.0,0.0,1.813,1.483,1.247,1.119,0.949,0.0,1.194
10,624.0,5.936563990996856,3.948154947773096,5.907,0.0,0.0,1.08,2.091,34.483,1.788,1.396,0.859,2.451,1.639
11,626.0,5.894811696137232,0.0,7.717,2.102,0.0,0.0,2.531,0.0,1.881,1.57,1.447,1.054,0.0
12,629.0,5.85272746861963,1.829240585302684,1.309,1.194,2.054,1.121,0.0,2.315,0.0,1.786,2.568,13.428,4.165
13,630.0,5.829423163299706,3.6365598974950086,2.083,0.0,0.0,1.292,0.0,0.0,1.351,2.496,3.209,1.859,0.0
14,632.0,5.806019824366869,402.4982721209644,8.183,1.819,1.065,0.0,0.0,0.0,2.151,0.828,0.884,2.195,0.0
15,634.0,5.758847580686565,5.899247527507038,4.972,3.631,150.122,1.05,1.127,1.468,1.281,1.238,0.0,0.0,0.777
16,636.0,5.735113676933862,3.139422313599658,4.83,4.494,10.19,6.418,1.327,1.122,4.442,0.0,0.0,0.898,0.0
17,639.0,5.687351268637958,1.0800015327544523,2.78,0.94,2.079,5.801,2.04,0.0,1.717,4.066,0.0,1.321,0.797
18,640.0,5.674282004200254,1.1170019861313154,7.607,1.708,1.628,2.845,2.664,0.0,0.0,0.0,0.0,2.005,1.467
19,642.0,5.63487750476342,0.0,16.028,1.378,1.234,1.032,1.853,1.631,0.0,2.732,0.0,0.0,1.436
