,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,2.7460000000000004,0.976,1.389,2.438,0.9259999999999999,1.494,1.944,0.0,0.0,3.162,1.136,0.8490000000000001
1,604.0,6.257021370782392,0.0,1.822,1.7180000000000002,0.0,3.045,6.3679999999999986,1.911,1.906,0.0,5.2120000000000015,5.207999999999998,7.5139999999999985
2,608.0,6.1980671836829675,3.4810000000000003,2.083,0.0,1.568,7.7070000000000025,0.0,2.451,4.175,8.107999999999999,3.61,7.395,1.6980000000000002
3,610.0,6.166826674452982,1.386,0.0,2.048,0.0,1.526,3.415,1.785,3.427,1.636,1.3119999999999998,3.712,9.624
4,612.0,6.133891202463207,0.0,0.0,1.14,0.0,7.2520000000000024,44.034,0.0,5.938,14.898,2.188,1.995,1.7519999999999998
5,614.0,6.100719280344513,0.0,1.138,0.0,1.646,5.191,0.0,0.0,2.267,0.0,1.165,3.459,0.0
6,616.0,6.067346103953526,0.0,0.853,0.0,0.0,2.186,2.406,0.0,1.982,3.063,0.0,0.0,0.0
7,618.0,6.032072868913223,0.0,0.0,0.0,0.0,6.511,4.1530000000000005,0.0,1.289,0.0,1.398,0.0,2.192
8,620.0,5.9948320266449295,0.0,7.358,0.0,0.0,1.906,3.2739999999999996,2.662,2.7060000000000004,1.916,1.695,3.79,2.6860000000000004
9,622.0,5.957324003606695,1.3430000000000002,0.0,0.0,9.981,2.315,5.738,5.2570000000000014,1.948,2.6,3.572,7.816,9.359
10,624.0,5.9365639909968575,1.048,1.4140000000000001,4.851,3.384,0.0,0.0,0.0,1.466,13.908,5.197,2.75,4.075
11,626.0,5.894811696137233,0.0,0.0,0.0,4.922,0.0,1.644,0.0,0.0,2.495,2.388,2.69,1.523
12,629.0,5.85272746861963,1.6480000000000001,1.6219999999999999,1.986,1.24,1.591,0.0,0.0,6.625,2.559,0.0,2.765,0.0
13,630.0,5.829423163299706,0.0,0.0,0.0,1.621,1.157,7.433,2.99,2.079,0.0,24.666,5.072,1.652
14,632.0,5.806019824366869,0.0,0.0,0.0,1.386,0.0,1.7519999999999998,3.0810000000000004,0.0,25.627,12.897,2.656,1.379
15,634.0,5.758847580686567,1.5019999999999998,2.229,1.2009999999999998,1.2009999999999998,0.8170000000000001,2.984,3.63,17.085,4.488,74.789,1.181,2.846
16,636.0,5.735113676933862,0.0,1.235,1.34,0.0,0.0,16.953,0.0,24.31900000000001,11.249,1.656,1.661,3.9
17,639.0,5.687351268637958,9.708,0.998,10.946,1.568,1.973,4.419,10.047,1.6,0.0,0.0,2.325,0.0
18,640.0,5.674282004200253,2.52,1.456,5.2010000000000005,1.6369999999999998,19.308,2.67,12.780999999999999,0.0,21.074,2.415,0.873,1.9980000000000002
19,642.0,5.63487750476342,1.874,3.534,2.337,1.541,1.81,0.0,0.0,0.0,0.0,7.107,2.547,8.033999999999999
20,644.0,5.607096887071627,4.765,0.0,1.704,13.087,4.327,0.0,0.0,5.732,0.0,3.2689999999999997,0.0,0.0
21,646.0,5.563197273837341,5.1080000000000005,1.122,3.742,2.457,2.535,2.3280000000000003,0.0,0.0,0.0,2.275,0.0,0.0
22,648.0,5.532228479342441,1.2830000000000001,4.013,0.0,0.0,0.932,0.863,0.0,0.0,0.0,5.079,0.0,5.702999999999999
23,650.0,5.499580009312712,4.2360000000000015,2.879,1.366,2.6460000000000004,0.0,0.0,0.0,1.778,0.0,3.093,0.0,0.0
24,652.0,5.4667717357004335,3.705,6.586,1.182,2.4859999999999998,0.0,0.0,0.0,1.7790000000000001,4.272,2.085,2.121,2.775
25,654.0,5.432045810452904,3.1180000000000003,3.057,2.047,1.283,0.0,0.0,26.278,3.018,15.991,2.32,4.024,1.923
26,656.0,5.395473989249358,4.788,3.076,0.0,1.4580000000000002,2.068,1.101,1.661,1.655,0.0,0.0,0.0,29.425
27,658.0,5.377073878453867,2.071,4.2810000000000015,0.0,1.325,2.099,2.377,3.523,0.0,5.045,2.979,4.688,17.086
28,660.0,5.338220697323426,1.849,31.35,4.052,2.925,2.989,0.0,3.267,0.0,0.0,2.336,10.48,2.5540000000000003
29,660.0,5.338220697323426,1.849,31.35,4.052,2.925,2.989,0.0,3.267,0.0,0.0,2.336,10.48,2.5540000000000003
30,662.0,5.297253698952362,0.0,3.384,0.0,2.658,0.0,4.056,3.42,1.565,0.0,1.7409999999999999,1.466,2.424
31,664.0,5.276641111204341,2.623,0.0,0.0,29.655,41.197,2.609,0.0,3.771,0.0,1.812,5.5,1.619
32,666.0,5.235158502612744,1.703,4.275,1.5519999999999998,2.324,8.288,1.851,0.0,3.612,6.377999999999999,0.0,0.0,0.0
33,668.0,5.214323161439596,3.603,2.547,3.3710000000000004,2.167,1.596,1.861,3.035,1.796,3.632,9.397,1.807,0.0
34,670.0,5.170266337889607,3.595,3.1189999999999998,1.422,3.275,0.0,0.0,1.768,5.662999999999999,1.32,9.411,2.355,1.341
35,672.0,5.147046563163453,3.233,1.224,6.202000000000001,2.664,0.0,1.528,0.0,5.052,2.56,4.168,1.705,1.0
36,674.0,5.100322315894825,5.686,2.1790000000000003,0.0,0.0,1.3969999999999998,0.0,0.0,0.0,8.758,3.885,1.87,1.7469999999999999
37,676.0,5.076783952863184,3.2510000000000003,0.0,4.101,0.0,0.0,1.74,2.008,0.0,5.517,2.173,1.5590000000000002,2.016
38,679.0,5.024693916499314,1.425,2.01,2.295,3.931,8.113,7.718,3.375,0.0,3.375,3.242,30.554000000000002,1.869
39,681.0,4.9984422681030605,4.2860000000000005,2.772,0.0,0.0,2.518,5.608,0.0,2.176,3.248,1.769,2.8080000000000003,26.174
40,682.0,4.972098961617661,2.395,0.0,18.23,2.19,29.16800000000001,3.141,0.0,1.4140000000000001,1.301,16.576,2.319,3.6860000000000004
41,684.0,4.945595796763422,1.423,2.289,3.391,84.881,2.7430000000000003,4.545,30.449,1.487,2.28,3.065,1.695,1.938
42,687.0,4.892248159980066,1.4969999999999999,1.375,0.0,4.115,0.0,1.9180000000000001,1.765,0.0,0.0,1.548,3.221,20.769000000000002
