,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,5.759,0.0,0.0,6.5,4.393,8.154,9.339,6.18,6.4570000000000025,6.113,5.7479999999999976,4.812
1,604.0,6.257021370782392,5.638999999999999,5.297999999999999,4.604,0.0,7.096,7.2639999999999985,0.0,0.0,0.0,10.507,6.381,7.27
2,608.0,6.198067183682968,4.8210000000000015,0.0,0.0,6.3420000000000005,11.987,0.0,10.643,11.854,10.698,7.814,6.614,4.378
3,610.0,6.166826674452982,4.447,4.859,5.817,5.187,7.452000000000001,0.0,11.025,0.0,8.256,0.0,5.8870000000000005,5.608
4,612.0,6.133891202463207,4.41,0.0,4.808,6.943,8.668,0.0,0.0,0.0,8.488,7.438,0.0,4.978
5,614.0,6.100719280344513,5.862,5.965,5.6129999999999995,7.782999999999999,0.0,0.0,0.0,6.671,5.97,5.812,5.648,3.9139999999999997
6,616.0,6.067346103953526,3.596,5.377999999999999,0.0,7.366,9.335,0.0,6.0520000000000005,7.246,6.369,5.499,6.7010000000000005,5.464
7,618.0,6.032072868913223,5.807,4.452,5.367999999999999,6.966,7.9510000000000005,6.25,5.324,5.013,0.0,6.2920000000000025,5.984,7.037000000000001
8,620.0,5.9948320266449295,5.4689999999999985,4.788,4.027,0.0,4.975,5.525,6.773,5.935,7.148,8.711,9.81,10.093
9,622.0,5.957324003606695,8.468,4.1419999999999995,6.9179999999999975,6.817,5.1960000000000015,6.125,0.0,0.0,6.141,9.541,10.2,6.631
10,624.0,5.9365639909968575,6.428,6.477,0.0,4.109,6.794,6.893,0.0,4.547,10.771,0.0,9.716,8.507
11,626.0,5.894811696137233,0.0,4.908,4.035,5.984,4.191,6.881,4.947,5.267,6.928,0.0,0.0,6.518
12,629.0,5.85272746861963,6.822,4.671,4.2189999999999985,5.317,5.0360000000000005,0.0,0.0,7.59,0.0,0.0,0.0,0.0
13,630.0,5.829423163299706,4.908,4.088,4.4,4.265,4.311,0.0,6.897,8.601,0.0,10.842,8.536,9.212
14,632.0,5.806019824366869,4.556,4.645,4.58,4.185,0.0,5.087,9.496,0.0,0.0,9.74,0.0,5.836
15,634.0,5.758847580686567,6.768,6.39,4.801,0.0,4.55,8.0,7.202000000000001,0.0,0.0,6.7620000000000005,4.088,5.672999999999999
16,636.0,5.735113676933862,7.169,0.0,4.942,0.0,5.648,7.1629999999999985,7.847,8.385,7.94,5.285,6.692,7.265
17,639.0,5.687351268637958,7.897,5.1770000000000005,5.263,0.0,5.3260000000000005,10.958,7.558,4.795,0.0,0.0,0.0,0.0
18,640.0,5.674282004200253,6.487,0.0,6.7429999999999986,7.034,7.952000000000001,8.906,7.087999999999999,6.289,0.0,0.0,4.714,0.0
19,642.0,5.63487750476342,4.852,6.3629999999999995,6.435,6.916,6.3420000000000005,5.414,6.984,0.0,4.915,7.169,6.722,4.7410000000000005
20,644.0,5.607096887071627,7.399,0.0,7.61,8.051,5.5710000000000015,5.674,7.522,4.533,0.0,4.0,0.0,5.349
21,646.0,5.563197273837341,0.0,6.73,0.0,5.961,6.294,4.458,0.0,4.336,0.0,0.0,0.0,0.0
22,648.0,5.532228479342441,6.408,0.0,4.7330000000000005,0.0,4.788,4.984,3.952,4.84,0.0,6.765,0.0,0.0
23,650.0,5.499580009312712,5.516,0.0,4.151,7.439,6.523,0.0,3.725,4.1610000000000005,5.644,9.902999999999999,0.0,0.0
24,652.0,5.4667717357004335,4.338,0.0,4.668,6.7079999999999975,0.0,0.0,0.0,3.603,5.619,7.4129999999999985,5.978,5.711
25,654.0,5.4320458104529035,5.632999999999999,4.89,4.64,4.265,4.0760000000000005,5.267,5.742000000000001,5.065,7.715,6.39,6.3389999999999995,5.13
26,656.0,5.395473989249358,6.0779999999999985,3.917,4.762,4.463,5.3210000000000015,4.482,6.127999999999999,4.8180000000000005,0.0,6.178,5.631,6.839
27,658.0,5.377073878453867,5.2620000000000005,0.0,4.6930000000000005,4.99,4.105,5.975,5.456,0.0,5.718,4.632,6.475,6.556
28,660.0,5.338220697323426,5.189,4.234,4.227,5.638999999999999,7.9129999999999985,0.0,5.479,0.0,0.0,4.709,4.69,0.0
29,660.0,5.338220697323426,5.189,4.234,4.227,5.6389999999999985,7.9129999999999985,0.0,5.479,0.0,0.0,4.709,4.69,0.0
30,662.0,5.297253698952362,5.425,6.25,4.843,0.0,0.0,5.122000000000001,6.428,5.309,4.385,0.0,4.7,4.426
