,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,2.167,1.825,0.0,4.254,1.053,1.414,3.764,2.51,2.576,1.467,1.206,1.098
1,604.0,6.257021370782392,157.895,1.486,3.5380000000000003,0.0,1.665,12.154000000000002,0.0,0.0,0.0,11.921,3.614,8.656
2,608.0,6.198067183682968,2.5380000000000003,0.0,0.0,1.741,5.869,0.0,1.865,3.878,7.867000000000001,3.2960000000000003,2.416,0.0
3,610.0,6.166826674452982,1.136,3.1839999999999997,19.755,2.1430000000000002,1.517,0.0,2.149,0.0,40.088,0.0,3.4760000000000004,1.892
4,612.0,6.133891202463207,0.0,0.0,0.0,2.276,3.678,0.0,0.0,0.0,5.934,9.811,5.847,2.355
5,614.0,6.100719280344513,1.3880000000000001,0.0,4.262,3.0039999999999996,0.0,0.0,0.0,8.24,0.0,2.436,32.457,0.0
6,616.0,6.067346103953526,0.0,0.0,0.0,0.0,3.909,0.0,13.445,3.919,5.852,2.627,5.216,115.49
7,618.0,6.032072868913223,0.0,2.254,0.0,6.231,4.985,6.504,4.908,1.581,1.8980000000000001,3.1439999999999997,3.7880000000000003,34.166
8,620.0,5.9948320266449295,14.668,10.377,0.0,0.0,22.54300000000001,4.516,3.618,3.4360000000000004,4.061,2.978,3.44,3.19
9,622.0,5.957324003606695,3.648,0.0,2.8310000000000004,4.708,2.398,6.722,0.0,0.0,26.004,4.386,3.3739999999999997,3.674
10,624.0,5.9365639909968575,0.0,2.388,0.0,2.471,25.535,1.804,0.0,3.82,7.271,0.0,3.045,3.016
11,626.0,5.894811696137233,1.508,4.191,6.152,0.0,0.0,1.6269999999999998,0.0,1.88,3.656,0.0,0.0,1.7180000000000002
12,629.0,5.85272746861963,2.087,3.736,0.0,0.0,1.495,0.0,0.0,2.303,0.0,0.0,0.0,0.0
13,630.0,5.829423163299706,2.839,12.155,0.0,0.0,1.686,0.0,5.847,3.295,0.0,12.056,8.277999999999999,2.45
14,632.0,5.806019824366869,1.0659999999999998,0.0,0.0,1.018,0.0,1.895,2.707,0.0,0.0,106.388,0.0,3.729
15,634.0,5.758847580686567,2.815,0.0,1.261,4.386,0.0,5.237,3.772,0.0,0.0,10.763,2.126,3.318
16,636.0,5.735113676933862,4.023,0.0,1.277,0.0,3.2710000000000004,4.454,5.127000000000002,6.888,14.677,2.406,2.379,18.751
