,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,692.0,4.806664730570148,4.998370982714149,3.938,2.251,1.935,2.951,3.133,0.0,3.412,3.458,5.685,5.887,5.826
1,694.0,4.778461168590125,4.709529780192072,0.0,5.816,4.788,2.829,2.626,0.0,0.0,2.689,5.982,4.935,4.347
2,698.0,4.720187077902779,7.154784264387832,0.0,5.154,4.032,0.0,4.194,6.254,0.0,1.608,3.021,6.525,0.0
3,700.0,4.689300957922461,3.881334956198177,0.0,3.683,5.969,6.146,5.95,5.538,2.931,3.154,2.647,2.05,2.803
4,702.0,4.644673480769162,2.4525936347927377,3.743,2.18,2.511,0.0,0.0,5.064,9.502,7.257,2.865,5.18,5.287
5,704.0,4.622237616993765,4.17786969289991,4.126,3.145,0.0,0.0,0.0,4.708,5.931,10.865,4.554,3.475,3.886
6,706.0,4.577088592204344,4.198248673668211,4.819,7.047,7.392,2.919,0.0,2.291,4.287,2.764,7.278,5.768,6.228
7,708.0,4.552132323035337,4.79018684435889,3.962,3.976,8.445,6.229,3.305,3.026,3.073,2.892,2.271,0.0,4.995
8,711.0,4.501814915026364,3.182287249064115,4.673,6.744,0.0,0.0,4.811,5.876,5.85,3.91,4.411,3.979,2.431
9,712.0,4.48942163564651,3.845082874041703,3.25,6.928,6.113,0.0,0.0,4.346,7.388,4.503,2.841,3.569,4.214
10,714.0,4.451988877090198,3.3498530824287247,4.243,2.413,0.0,8.514,0.0,6.89,0.0,8.432,6.8,6.772,5.574
11,716.0,4.425636673797188,5.231403391896073,2.059,4.301,0.0,0.0,3.824,0.0,17.159,6.07,0.0,8.333,9.125
12,718.0,4.384017668022734,3.098921429365084,6.222,5.785,4.947,4.93,2.371,0.0,2.561,4.398,0.0,0.0,5.162
13,720.0,4.356077168016794,4.0139519464434334,4.85,6.761,4.333,4.097,3.935,2.915,1.747,3.235,2.886,0.0,3.918
14,722.0,4.328017673411098,3.525023912854312,5.123,5.664,7.191,5.155,5.637,8.834,3.117,0.0,0.0,2.232,0.0
15,724.0,4.282832647088027,2.354104173711568,2.995,3.101,5.903,7.392,3.804,5.594,6.633,5.058,3.488,4.8,3.239
16,726.0,4.251573740401522,8.461009796279628,3.381,3.197,4.203,6.123,6.678,4.222,5.942,7.738,7.808,9.382,7.718
17,728.0,4.218546832503941,4.636637981197025,4.56,4.566,6.389,3.055,0.0,4.328,3.119,3.991,6.025,7.841,4.447
18,731.0,4.183756010091789,5.261907810872149,9.343,3.171,4.603,4.805,4.378,4.602,3.235,4.457,3.422,4.341,10.933
19,732.0,4.166252624258075,3.936356824030587,4.893,6.081,3.55,5.844,8.419,2.148,4.478,2.362,6.365,4.988,4.89
20,734.0,4.129379642199092,5.950264650508622,2.643,3.964,5.188,3.999,3.951,4.561,4.564,6.23,2.776,4.966,5.652
21,736.0,4.090517576788267,2.8884970600657778,6.047,4.992,3.535,3.629,6.153,4.339,3.912,6.251,0.0,5.313,5.935
22,739.0,4.051387253346471,5.7048654202776055,7.042,4.608,2.11,4.543,4.249,5.064,0.0,3.577,4.547,9.943,6.055
23,740.0,4.031717654255528,5.565758229916528,5.834,7.976,3.958,3.212,0.0,2.72,4.547,3.732,5.347,5.017,10.842
24,742.0,3.9921703326700086,3.978922295247251,5.724,7.411,0.0,4.971,7.702,4.998,2.271,3.894,4.814,7.902,3.545
25,744.0,3.9703123977296446,6.310886378311024,3.538,6.681,6.637,5.631,6.918,9.016,4.043,2.052,2.843,4.508,5.353
26,746.0,3.926362164091506,2.312192688949035,3.852,5.11,5.016,5.467,5.908,5.665,3.208,7.718,2.886,0.0,2.222
27,748.0,3.904236747925157,0.0,2.194,3.708,3.939,3.226,6.718,8.872,6.754,3.053,7.254,4.64,2.535
28,751.0,3.859786935916354,10.274717178580897,7.523,3.622,2.523,2.413,3.026,5.199,8.43,6.455,0.0,3.589,6.172
29,752.0,3.837429450196412,4.495920805176516,7.295,0.0,3.039,0.0,4.281,7.788,6.901,8.909,5.325,3.458,3.166
30,755.0,3.79021115421336,3.2291596860300102,4.679,5.306,4.828,7.386,2.963,4.932,5.782,4.547,0.0,5.396,4.165
31,756.0,3.765320039697933,4.290644497211543,6.826,6.582,4.845,6.504,6.477,3.797,4.532,3.303,3.182,0.0,2.978
32,758.0,3.740344240283843,3.25481532839667,0.0,9.363,6.634,0.0,4.396,4.641,6.085,0.0,6.222,5.215,0.0
33,761.0,3.6900396490094094,6.553771878718168,6.134,6.268,5.042,2.222,8.031,2.61,3.339,9.69,7.314,3.556,5.207
34,763.0,3.664744843454031,3.9839498741798622,7.937,6.364,6.557,3.632,1.343,1.525,2.568,6.182,6.177,5.612,2.982
35,764.0,3.639333229466553,3.3304768712695014,3.422,6.249,6.095,5.486,3.905,2.099,0.0,0.0,0.0,9.542,5.347
