,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,692.0,4.806664730570148,0.9752568882314098,0.768,2.82,1.218,0.564,1.57,1.21,0.812,1.043,0.0,0.762,3.243
1,694.0,4.778461168590125,0.7274986384637068,2.43,0.718,0.849,1.513,0.738,1.055,4.579,1.326,1.476,0.749,0.596
2,698.0,4.720187077902779,0.8132663862154144,2.492,0.807,0.0,0.0,0.63,0.0,1.89,1.063,1.064,1.82,0.973
3,700.0,4.689300957922461,1.3327220246876377,0.601,0.909,0.0,0.0,1.197,0.0,1.283,0.0,2.293,0.954,1.315
4,702.0,4.644673480769162,1.4120269928348166,0.97,1.58,0.981,0.661,0.0,0.875,0.491,0.0,1.207,1.147,2.735
5,704.0,4.622237616993765,1.816317017815591,0.0,0.822,0.0,0.865,0.66,2.861,0.0,0.523,0.76,1.742,1.077
6,706.0,4.577088592204344,1.2529783508618428,0.733,1.133,1.656,0.821,2.806,1.068,1.104,0.0,0.963,0.0,0.0
7,708.0,4.552132323035337,0.0,0.0,0.813,0.713,0.0,0.657,1.077,0.0,1.567,1.846,0.0,0.0
8,711.0,4.501814915026364,1.5572868380193878,0.0,0.0,0.0,1.571,0.798,1.125,1.031,0.95,1.245,1.996,0.782
9,712.0,4.48942163564651,0.9302201447842208,1.282,0.0,0.0,2.572,1.017,0.765,1.605,1.085,0.96,2.312,0.0
10,714.0,4.451988877090198,1.7209783650886936,1.359,1.79,3.077,0.964,1.339,2.401,1.22,0.818,2.484,1.574,1.178
11,716.0,4.425636673797188,1.258508010958169,0.0,2.673,1.459,1.311,3.243,0.963,0.0,2.167,1.149,1.869,2.065
12,718.0,4.384017668022734,1.4042380069987055,3.339,1.704,1.208,1.978,1.43,1.298,1.981,1.478,1.159,3.11,1.29
13,720.0,4.356077168016794,1.7248376576407871,1.038,4.399,2.392,1.267,0.0,1.502,1.713,2.057,1.454,0.842,0.0
14,722.0,4.328017673411098,0.6708153800985476,2.162,0.0,1.369,0.0,1.776,0.913,1.446,1.676,1.628,4.526,1.086
15,724.0,4.282832647088027,2.2290267271799094,0.0,0.962,0.882,0.0,1.02,1.759,3.588,1.037,1.214,2.393,1.206
16,726.0,4.251573740401522,2.524334771725674,1.783,2.901,0.877,1.007,0.0,0.0,0.923,2.457,1.799,0.853,2.148
17,728.0,4.218546832503941,1.1978901479931774,4.551,3.177,1.807,1.518,0.805,0.771,0.0,1.138,1.045,2.946,2.316
18,731.0,4.183756010091789,2.395257872441096,0.0,2.748,4.382,2.393,1.005,1.978,0.613,0.812,1.684,2.022,1.237
19,732.0,4.166252624258075,1.2519069280225186,0.0,1.819,1.687,3.781,1.751,1.288,3.043,0.613,0.928,1.265,1.551
20,734.0,4.129379642199092,1.4094349143760023,1.165,1.038,1.895,0.0,1.433,3.955,1.321,0.989,2.308,0.98,1.05
21,736.0,4.090517576788267,1.429842328769095,0.948,0.904,0.0,1.256,1.732,1.716,1.066,4.33,1.721,1.451,3.258
22,739.0,4.051387253346471,1.2652649923561214,3.356,1.06,0.795,1.044,1.371,1.272,2.033,1.156,1.337,3.276,1.838
23,740.0,4.031717654255528,1.757085898389725,1.807,3.887,1.595,0.905,0.803,1.319,1.042,1.286,0.944,2.226,3.812
24,742.0,3.9921703326700086,1.63051013948733,4.77,2.312,0.0,3.63,2.372,0.985,1.286,1.174,1.342,2.213,1.317
25,744.0,3.9703123977296446,0.0,1.389,2.917,2.64,1.315,2.583,3.308,1.117,1.871,3.255,1.9,2.073
26,746.0,3.926362164091506,2.078602937012051,2.634,0.0,1.224,1.481,2.192,1.394,1.571,7.578,2.037,0.0,2.724
27,748.0,3.904236747925157,2.091321783502477,2.977,2.205,2.451,0.0,0.0,2.15,1.342,1.394,3.009,2.978,1.188
28,751.0,3.859786935916354,3.179530094947547,0.947,1.45,3.583,4.209,0.0,0.881,0.0,2.049,1.414,1.073,1.131
29,752.0,3.837429450196412,0.0,2.998,0.0,0.0,3.081,4.432,3.218,2.085,0.89,1.728,1.514,1.025
30,755.0,3.79021115421336,0.0,0.658,0.0,1.51,2.278,1.033,1.404,3.803,2.413,2.106,1.398,1.302
31,756.0,3.765320039697933,1.3764818017355938,1.69,0.0,0.971,1.424,2.246,0.0,0.94,4.456,3.5,2.082,2.069
32,758.0,3.740344240283843,2.49156912237439,1.615,1.726,3.438,1.13,1.196,2.377,0.0,0.0,1.889,4.94,1.606
33,761.0,3.6900396490094094,3.007471658167589,2.54,3.04,2.842,1.408,1.069,4.525,1.036,1.149,2.255,2.034,1.033
34,763.0,3.664744843454031,1.2843205087700182,1.961,3.491,0.0,3.306,1.503,0.953,1.11,1.626,0.0,1.628,2.601
35,764.0,3.639333229466553,2.581058202009481,1.566,1.49,2.814,1.541,2.266,0.0,0.763,0.517,2.827,1.35,1.471
