,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,690.0,4.848722875976096,0.0,4.514,6.066,0.0,2.6,0.0,0.902,1.619,0.0,1.697,2.545,2.498
1,692.0,4.806664730570148,1.837794156797954,3.693,3.848,1.779,4.347,0.937,0.882,4.125,3.461,3.344,1.975,2.521
2,694.0,4.778461168590125,1.8919459695651024,3.077,2.534,1.7,5.286,1.443,0.0,2.924,4.834,2.856,1.301,2.75
3,698.0,4.720187077902779,2.327571940373422,2.075,0.0,0.0,0.0,1.942,0.986,1.769,4.393,1.589,1.728,2.424
4,700.0,4.689300957922461,2.3902632956344148,0.0,4.752,0.0,0.0,1.548,0.662,2.982,5.289,2.645,7.354,7.621
5,702.0,4.644673480769162,3.2055757416323107,2.58,1.654,1.242,2.603,2.522,0.0,4.255,3.561,0.0,4.78,5.112
6,704.0,4.622237616993765,3.462910623408177,3.22,1.312,1.401,2.903,2.398,1.847,3.249,3.931,0.0,2.736,4.888
7,706.0,4.577088592204344,2.151833857032318,4.564,0.937,0.0,3.231,5.0,2.686,2.5,4.971,3.267,4.21,3.893
8,708.0,4.552132323035337,1.868262651343092,4.98,1.272,1.207,2.899,7.917,2.259,1.279,4.083,0.0,3.032,3.731
9,711.0,4.501814915026364,2.294063475678481,6.306,1.441,0.0,2.388,7.031,1.883,1.779,3.609,5.446,8.207,2.783
10,712.0,4.48942163564651,0.0,4.199,1.732,1.391,2.014,5.343,1.813,1.837,2.75,3.861,5.347,3.159
11,714.0,4.451988877090198,2.007504873401275,4.191,0.0,1.154,1.776,6.635,1.547,0.0,2.315,6.234,5.715,2.767
12,716.0,4.425636673797188,1.5378568123855705,3.942,1.542,1.214,2.071,9.125,2.448,0.0,2.505,5.081,9.217,2.23
13,718.0,4.384017668022734,1.5749518032019905,5.829,1.247,0.0,2.037,9.39,6.293,0.0,0.0,2.818,4.265,2.446
14,720.0,4.356077168016794,1.5730030573026297,4.894,1.989,0.0,1.676,6.977,4.694,3.39,3.671,2.33,6.361,1.89
15,722.0,4.328017673411098,1.6031624591780425,6.457,4.35,1.134,1.681,7.833,3.477,3.327,0.0,3.47,4.04,1.751
16,724.0,4.282832647088027,1.186644512668145,3.139,6.179,1.345,2.027,4.507,5.093,8.586,4.103,7.224,0.0,1.342
17,726.0,4.251573740401522,1.2637497120057992,3.856,4.027,3.114,3.599,4.874,7.607,4.024,5.961,4.853,4.27,2.024
18,728.0,4.218546832503941,1.2479232414156451,2.081,3.565,6.163,4.084,3.799,6.46,3.925,3.426,2.748,6.632,1.72
19,731.0,4.183756010091789,1.2516978029814472,2.82,2.669,4.108,5.758,2.535,9.759,3.663,2.71,2.666,0.0,1.799
20,732.0,4.166252624258075,1.358444482495924,3.187,2.865,4.512,4.028,2.277,0.0,3.292,1.935,2.301,0.0,2.466
21,734.0,4.129379642199092,2.01328289202941,1.867,0.0,3.297,2.752,2.98,2.997,5.452,2.12,2.047,2.365,5.258
22,736.0,4.090517576788267,1.5910416513493069,2.03,6.393,1.724,2.302,4.272,4.106,4.699,1.934,1.666,2.071,5.172
23,739.0,4.051387253346471,1.372612552255306,1.581,4.219,2.87,4.533,3.771,2.544,3.459,1.226,1.409,2.237,4.979
24,740.0,4.031717654255528,1.6175481834926095,2.325,4.247,2.423,5.84,3.243,1.676,4.927,2.121,1.602,2.627,4.658
25,742.0,3.9921703326700086,2.413950083086039,1.728,3.898,3.529,3.805,2.53,1.252,3.143,2.022,1.034,2.578,2.139
26,744.0,3.9703123977296446,1.2663689572752492,2.49,5.269,4.765,3.772,1.921,1.324,4.274,1.758,1.375,3.02,2.26
27,746.0,3.926362164091506,3.433572483984183,8.689,3.783,4.73,5.902,1.792,1.176,16.903,2.209,1.822,2.704,3.291
28,748.0,3.904236747925157,3.2944093575340805,5.463,3.572,4.056,5.055,2.003,1.351,5.252,1.488,1.89,2.441,3.633
29,751.0,3.859786935916354,2.863278606457517,3.158,3.787,4.308,4.299,1.99,2.604,3.129,2.813,2.278,3.23,2.929
30,752.0,3.837429450196412,0.0,2.939,2.491,3.316,3.802,2.479,2.647,0.0,4.428,1.224,3.13,3.833
31,755.0,3.79021115421336,5.160800108197839,5.092,4.288,6.764,4.236,2.152,1.976,3.454,4.001,2.409,4.748,5.557
32,756.0,3.765320039697933,0.0,3.856,2.809,4.784,4.744,2.191,1.575,2.461,2.389,5.467,5.366,4.109
33,758.0,3.740344240283843,3.140507685038157,4.474,2.282,5.302,3.365,1.798,1.387,1.92,2.204,6.838,4.721,4.337
34,761.0,3.6900396490094094,3.864573022787993,3.634,2.528,1.824,3.815,2.327,1.406,2.068,2.806,3.648,1.452,5.95
35,763.0,3.664744843454031,3.307764147298854,4.231,1.675,1.688,3.616,2.622,1.205,1.949,2.067,1.782,1.952,6.697
36,764.0,3.639333229466553,3.023993186816305,6.755,1.352,1.574,3.978,3.776,1.576,1.88,2.934,1.325,2.887,2.709
