,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,4.207782761063466,0.0,2.728,0.847,0.932,2.729,2.261,0.0,0.0,1.13,0.0,5.302
1,604.0,6.257021370782395,2.1453295429030983,2.142,2.642,0.862,2.643,0.0,0.945,1.336,0.0,0.0,0.0,0.0
2,608.0,6.198067183682969,0.0,1.065,1.383,0.0,3.173,0.0,1.176,0.0,4.14,1.166,1.375,0.0
3,610.0,6.166826674452984,1.619072761321564,0.0,0.0,1.066,0.0,0.0,6.788,1.34,0.512,4.264,0.0,1.101
4,612.0,6.133891202463207,2.2342445100838506,0.0,0.778,2.492,1.126,1.743,4.291,0.0,2.266,1.076,1.45,0.0
5,614.0,6.100719280344512,0.6238705358788731,7.585,1.191,0.703,0.0,0.984,1.387,1.395,0.0,0.0,0.982,1.261
6,616.0,6.067346103953526,0.0,0.0,0.0,3.901,0.866,1.599,0.0,1.158,1.036,4.12,1.439,0.0
7,618.0,6.032072868913223,1.980156211376084,3.341,1.035,0.795,0.0,5.851,1.4,0.884,0.0,1.81,0.0,3.038
8,620.0,5.99483202664493,2.025329069933819,0.0,0.0,0.0,1.422,0.813,1.392,4.358,0.0,0.611,1.732,0.0
9,622.0,5.957324003606695,0.8965377294601409,0.0,2.153,2.508,0.0,2.458,0.0,0.622,1.105,3.02,1.169,0.0
10,624.0,5.936563990996856,0.6977332244524325,0.702,0.0,1.773,2.343,0.0,2.317,0.0,1.042,1.116,2.133,2.465
11,626.0,5.894811696137232,0.7714604080362054,2.836,0.0,0.549,6.639,1.419,4.267,3.07,1.651,0.0,1.402,0.609
12,629.0,5.85272746861963,1.946812407849168,0.642,0.609,2.306,2.698,1.195,0.0,2.784,1.815,2.249,0.928,1.484
13,630.0,5.829423163299706,1.1959883401487152,5.532,1.437,0.642,1.502,6.419,0.876,1.678,2.432,1.212,2.026,0.0
14,632.0,5.806019824366869,0.0,0.96,4.204,1.846,0.597,1.097,2.88,1.55,1.976,1.676,0.921,0.0
15,634.0,5.758847580686565,0.719016046255419,1.959,0.0,2.131,2.883,3.585,0.953,0.849,0.0,4.106,1.641,3.025
16,636.0,5.735113676933862,3.0565094425902863,0.847,1.552,0.0,1.605,2.278,0.0,0.0,1.009,0.0,4.148,0.0
