,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.0,1.941,0.0,0.729,0.684,1.955,2.787,0.0,1.245,1.125,0.0,2.514
1,604.0,6.257021370782395,0.0,3.301,3.047,0.808,1.736,0.0,0.934,1.008,4.602,0.845,0.0,0.825
2,608.0,6.198067183682969,0.626687753185894,0.98,0.0,1.907,3.289,2.729,0.495,0.0,0.0,0.914,1.238,1.479
3,610.0,6.166826674452984,1.6414479920873897,2.142,0.0,0.0,0.0,0.0,4.174,0.819,0.578,2.606,0.913,1.333
4,612.0,6.133891202463207,1.8276274532321235,0.782,0.876,3.309,0.0,0.996,2.744,4.374,1.957,0.995,1.184,4.872
5,614.0,6.100719280344512,0.5439956096922228,3.355,1.019,0.0,0.0,4.775,1.513,1.168,0.0,0.0,0.932,0.0
6,616.0,6.067346103953526,0.0,0.451,1.35,3.164,0.719,1.34,2.342,2.112,1.376,2.413,0.0,3.495
7,618.0,6.032072868913223,1.2771001555995558,2.978,1.161,0.928,0.0,7.109,1.466,0.888,0.0,2.517,1.682,3.018
8,620.0,5.99483202664493,3.6959465598718872,3.091,0.0,0.0,0.0,1.017,1.387,5.404,0.997,0.914,2.42,3.83
9,622.0,5.957324003606695,1.2037981983136068,1.574,4.434,2.922,0.0,0.0,0.0,0.635,0.0,3.294,1.163,0.0
10,624.0,5.936563990996856,0.8839319514139502,0.989,2.956,2.742,2.553,2.572,1.787,0.0,0.936,1.201,1.47,0.0
11,626.0,5.894811696137232,0.0,2.277,0.0,0.0,6.724,2.318,3.516,2.632,0.0,4.896,1.467,0.664
12,629.0,5.85272746861963,1.7675630191107228,0.928,0.705,1.285,2.84,1.47,3.583,0.0,2.278,2.605,0.0,0.0
13,630.0,5.829423163299706,0.9508735486459572,5.761,0.0,0.0,0.0,2.631,1.099,2.439,2.103,1.69,0.0,0.0
14,632.0,5.806019824366869,1.2265737017236586,0.974,3.662,1.313,0.833,0.0,1.592,0.0,0.0,1.449,1.591,0.0
15,634.0,5.758847580686565,0.5988905871820285,1.565,1.982,1.646,3.486,4.017,0.701,0.637,1.607,2.663,1.88,2.579
16,636.0,5.735113676933862,3.3223294883459102,0.791,0.0,1.004,1.348,1.703,3.765,0.0,0.731,0.0,0.0,0.0
