,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,2.039,0.0,0.591,1.13,2.215,1.295,0.0,1.051,0.877,0.0,4.15,0.0
1,604.0,6.257021370782392,0.0,3.137,1.149,0.0,1.585,0.0,1.116,0.0,1.176,6.943,2.503,1.816
2,608.0,6.198067183682968,0.613,0.0,1.609,1.094,1.419,0.0,0.705,1.239,2.841,3.5460000000000003,3.385,1.9169999999999998
3,610.0,6.166826674452982,0.604,0.0,1.135,1.472,1.324,2.541,0.0,0.977,0.0,4.737,0.0,1.383
4,612.0,6.133891202463207,1.0390000000000001,2.019,3.786,0.925,0.72,0.0,1.8880000000000001,1.525,2.022,4.699,2.24,1.1640000000000001
5,614.0,6.100719280344513,0.9,0.895,2.594,0.468,0.895,0.0,1.168,1.634,0.0,0.0,0.0,1.079
6,616.0,6.067346103953526,0.475,1.805,2.4330000000000003,0.775,1.4080000000000001,0.0,1.5619999999999998,1.3730000000000002,3.1630000000000003,0.0,2.5469999999999997,0.0
7,618.0,6.032072868913223,1.241,0.0,4.758,0.88,0.889,0.0,2.103,2.233,0.0,1.74,2.169,0.851
8,620.0,5.9948320266449295,0.9790000000000001,2.331,2.66,0.687,0.0,0.0,4.177,4.737,1.4569999999999999,0.0,3.51,0.0
9,622.0,5.957324003606695,1.181,2.136,2.16,0.0,1.128,1.231,4.935,3.482,3.159,1.737,2.168,0.0
10,624.0,5.9365639909968575,1.268,1.489,0.0,0.7929999999999999,0.985,1.969,0.0,2.932,4.859,0.0,0.0,1.088
11,626.0,5.894811696137233,0.5670000000000001,0.0,2.798,0.0,1.07,2.92,3.327,3.776,1.784,0.0,3.618,1.215
12,629.0,5.85272746861963,0.8140000000000001,0.914,3.109,1.482,2.193,0.0,1.9780000000000002,2.741,1.213,1.2590000000000001,5.2139999999999995,1.251
13,630.0,5.829423163299706,0.899,0.954,4.409,1.2919999999999998,0.0,3.254,1.931,0.0,0.0,1.052,5.001,1.308
14,632.0,5.806019824366869,0.7,0.0,1.854,0.0,0.0,1.8730000000000002,1.8130000000000002,0.0,1.4580000000000002,0.8420000000000001,2.9330000000000003,1.507
15,634.0,5.758847580686567,0.7759999999999999,0.0,2.37,0.0,4.0360000000000005,0.664,1.403,2.194,1.296,1.7080000000000002,2.628,1.703
16,636.0,5.735113676933862,0.628,1.067,0.0,1.006,2.094,0.9059999999999999,0.0,1.055,2.015,1.716,3.082,0.0
17,639.0,5.687351268637958,1.121,1.176,2.552,1.332,3.696,3.026,0.0,1.15,3.313,1.033,3.831,0.0
18,640.0,5.674282004200253,0.909,1.7469999999999999,2.665,1.4040000000000001,3.7060000000000004,1.239,0.688,1.5390000000000001,3.247,1.122,4.498,1.135
