,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.0,2.934,0.0,0.916,0.716,2.963,6.54,0.0,1.394,1.653,0.0,6.582
1,604.0,6.257021370782395,0.0,8.33,12.84,0.737,62.291,0.0,0.998,1.082,7.189,1.731,0.0,0.888
2,608.0,6.198067183682969,0.6398932698794181,0.983,0.0,2.938,7.235,4.201,0.619,0.0,0.0,0.869,1.199,2.659
3,610.0,6.166826674452984,2.2139994735003623,2.638,0.0,0.0,0.0,0.0,10.579,1.158,0.559,15.745,0.922,1.395
4,612.0,6.133891202463207,2.0040295511904898,0.831,0.922,5.016,0.0,1.162,7.033,6.247,3.941,0.981,1.151,7.822
5,614.0,6.100719280344512,0.5162512074649469,8.785,1.168,0.0,0.0,32.351,2.594,1.03,0.0,0.0,0.938,0.0
6,616.0,6.067346103953526,0.0,0.396,4.754,12.72,0.716,1.575,12.441,2.317,1.338,26.93,0.0,83.518
7,618.0,6.032072868913223,1.7148961529547342,10.073,1.595,0.891,0.0,17.818,1.781,0.815,0.0,4.34,2.096,5.424
8,620.0,5.99483202664493,5.3242609317303184,6.384,0.0,0.0,0.0,0.993,1.521,59.858,1.638,1.118,7.003,8.165
9,622.0,5.957324003606695,2.317047116976825,4.586,5.403,6.876,0.0,0.0,0.0,0.665,0.0,36.999,4.178,0.0
10,624.0,5.936563990996856,0.7616233554266284,0.917,50.15,4.425,4.295,3.767,2.885,0.0,0.956,1.22,1.639,0.0
11,626.0,5.894811696137232,0.0,4.829,0.0,0.0,16.485,2.406,9.141,3.029,0.0,7.45,1.445,0.589
12,629.0,5.85272746861963,1.5990023240821598,0.794,25.368,1.713,6.335,1.606,4.817,0.0,2.419,13.363,0.0,0.0
13,630.0,5.829423163299706,0.9135844653680348,75.019,0.0,0.0,0.0,2.949,1.098,4.049,2.172,5.217,0.0,0.0
14,632.0,5.806019824366869,1.9609236544698,0.936,177.007,1.668,0.867,0.0,1.691,0.0,0.0,6.196,2.626,0.0
15,634.0,5.758847580686565,0.63744342622579,2.502,3.426,3.756,11.552,4.931,2.136,1.897,2.324,6.033,1.966,3.703
16,636.0,5.735113676933862,4.220457600337249,0.82,0.0,0.953,3.368,1.936,5.808,0.0,1.04,0.0,0.0,0.0
17,639.0,5.687351268637958,0.0,1.508,2.861,5.305,0.0,1.165,4.992,1.638,3.183,1.947,1.07,0.0
18,640.0,5.674282004200254,0.0,10.567,1.431,14.501,1.438,0.774,4.294,24.232,1.828,14.352,1.282,0.0
19,642.0,5.63487750476342,0.0,0.965,0.0,0.0,1.852,1.896,1.778,0.636,1.795,12.751,1.015,5.908
20,644.0,5.607096887071627,0.0,0.0,1.53,1.862,3.621,1.596,2.281,19.429,0.734,0.979,3.725,0.0
21,646.0,5.563197273837341,0.0,23.047,0.833,1.489,3.039,1.66,0.0,7.643,1.661,4.227,1.136,0.942
22,648.0,5.532228479342441,1.533131507379789,0.984,16.202,1.66,0.844,4.59,1.175,0.979,396.062,1.558,0.965,3.836
23,650.0,5.499580009312712,0.836520705161999,3.042,1.207,0.0,1.991,0.0,0.0,3.981,0.0,2.59,5.029,0.0
24,652.0,5.466771735700435,10.281056800944713,0.866,1.177,30.428,1.375,1.744,7.455,0.0,0.831,6.997,2.69,0.0
25,654.0,5.432045810452905,5.381758452219891,1.164,4.086,0.0,0.828,0.0,2.392,26.017,4.748,3.37,1.745,5.021
26,656.0,5.395473989249359,0.0,0.0,1.169,1.01,0.0,0.822,0.602,28.52,0.0,0.705,0.0,6.204
27,658.0,5.377073878453867,2.996953242155871,0.0,9.845,0.951,1.607,2.774,0.769,0.0,11.14,0.0,0.913,1.537
28,660.0,5.338220697323427,9.88308329661306,0.0,0.0,1.174,5.542,0.886,1.089,2.286,7.454,3.473,12.981,2.637
29,660.0,5.338220697323427,9.88308329661306,0.0,0.0,1.174,5.542,0.886,1.089,2.286,7.454,3.473,12.981,2.637
30,662.0,5.297253698952362,3.0661736540238054,1.353,0.739,0.0,2.547,0.0,9.089,0.803,0.975,0.0,1.008,1.723
31,664.0,5.276641111204341,0.8495946677615401,7.38,1.006,0.0,1.09,1.619,0.904,4.552,0.86,1.013,0.0,3.644
32,666.0,5.235158502612743,5.733682530265785,2.249,0.0,0.0,1.838,0.0,0.0,4.102,0.671,3.152,1.375,0.812
33,668.0,5.214323161439596,1.3841614956601107,6.008,5.274,0.0,0.0,1.476,0.0,14.731,16.072,0.937,2.758,5.822
34,670.0,5.170266337889606,0.7597760571292743,6.39,0.0,0.835,5.028,5.896,0.0,0.0,0.0,0.0,0.0,1.037
35,672.0,5.147046563163453,0.0,0.908,9.837,0.0,0.735,0.0,11.758,6.012,4.354,0.993,37.312,0.0
36,674.0,5.100322315894825,2.179447844208421,7.216,1.885,1.815,12.58,2.303,1.168,0.613,4.696,110.791,5.524,0.719
37,676.0,5.076783952863183,1.673805497557729,4.258,2.69,0.0,5.222,9.227,0.0,32.525,3.915,4.311,3.602,9.216
38,679.0,5.024693916499313,6.641457249949463,3.208,17.471,4.61,1.345,0.0,0.0,0.947,0.738,5.559,3.422,20.18
39,681.0,4.9984422681030605,5.235613717225038,2.974,4.742,1.899,13.09,1.8,1.147,14438.647,1.153,0.463,1.969,2.584
40,682.0,4.972098961617661,12.35361617866083,3.823,9.182,4.38,1.479,17.325,7.192,0.639,2.972,5.163,0.768,1.038
41,684.0,4.945595796763422,0.6333028681074327,0.0,4.282,6.072,3.78,0.0,4.873,6.19,0.692,0.0,0.0,1.558
42,687.0,4.892248159980067,0.0,1.416,1.804,0.476,80.356,0.0,5.427,30.907,0.0,0.0,4.456,0.687
43,689.0,4.862669314823597,0.7889934862670795,0.0,0.803,0.0,0.629,0.0,0.0,1.733,6.513,10.495,1.099,1.592
44,690.0,4.848722875976096,0.0,0.433,0.523,0.675,4.179,0.726,1.266,2.493,1.643,4.491,0.0,1.009
45,692.0,4.806664730570148,1.20085202809155,0.0,1.331,0.776,0.701,0.0,5.435,1.275,1.745,0.0,0.0,2.66
46,694.0,4.778461168590125,3.8898684405084354,4.176,0.661,1.071,8.857,0.852,0.0,1.216,7.231,1.344,0.688,2.187
47,698.0,4.720187077902779,0.0,8.356,0.0,1.977,3.661,0.0,0.839,3.138,0.785,0.829,0.87,0.0
48,700.0,4.689300957922461,0.0,5.527,3.717,66.817,22.988,79.838,2.424,3.158,1.063,3.854,0.578,0.649
49,702.0,4.644673480769162,1.6450199831409178,0.0,2.129,15.254,0.0,4.384,31.396,8.649,8.598,0.752,0.844,5.236
50,704.0,4.622237616993765,2.2660308470097514,4.206,1.324,1.089,3.047,6.895,14.128,6.996,11.109,8.779,0.0,0.671
51,706.0,4.577088592204344,0.0,0.678,0.0,3.304,1.267,0.0,1.095,6.457,5.008,0.0,1.547,0.0
52,708.0,4.552132323035337,4.179243232644993,3.683,0.0,0.779,3.327,2.753,0.74,0.729,0.0,10.245,14.284,2.002
53,711.0,4.501814915026364,14.828772010339,2.808,1.592,4.376,4.718,0.988,0.993,3.709,1.632,0.0,0.0,5.099
