,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,22.95,0.0,0.618,1.135,4.619,1.304,0.0,1.102,2.474,0.0,24.783,0.0
1,604.0,6.257021370782392,0.0,6.9170000000000025,1.449,0.0,1.943,0.0,1.233,0.0,1.6130000000000002,11.049,3.981,1.857
2,608.0,6.1980671836829675,1.329,0.0,1.841,0.9690000000000001,1.524,0.0,0.742,1.3319999999999999,20.921,9.719,5.438,2.388
3,610.0,6.166826674452982,0.636,0.0,1.229,1.565,1.545,102.923,0.0,1.79,0.0,10.836,0.0,1.819
4,612.0,6.133891202463207,0.9940000000000001,5.93,6.481,0.9690000000000001,0.7340000000000001,0.0,19.004,2.596,5.56,9.941,5.164,1.161
5,614.0,6.100719280344513,0.8340000000000001,0.933,2.737,0.465,0.955,0.0,1.3230000000000002,1.706,0.0,0.0,0.0,1.47
6,616.0,6.067346103953526,0.44799999999999995,88.425,2.483,0.7709999999999999,1.659,0.0,1.8259999999999998,1.2819999999999998,8.125,0.0,4.04,0.0
7,618.0,6.032072868913223,1.5530000000000002,0.0,23.617,0.831,0.8190000000000001,0.0,291.747,4.212,0.0,3.967,7.405,0.929
8,620.0,5.9948320266449295,0.9590000000000001,3.158,4.2810000000000015,0.691,0.0,0.0,13.67,6.563,2.7560000000000002,0.0,5.8610000000000015,0.0
9,622.0,5.957324003606695,1.113,3.836,3.687,0.0,2.869,2.8560000000000003,6.3420000000000005,7.522,3.931,15.122,4.345,0.0
10,624.0,5.9365639909968575,1.213,1.696,0.0,0.722,0.872,2.559,0.0,6.73,18.65,0.0,0.0,1.1640000000000001
11,626.0,5.894811696137233,0.516,0.0,3.357,0.0,2.299,8.427999999999999,13.005999999999998,18.053,3.164,0.0,13.635,1.277
12,629.0,5.85272746861963,0.762,1.1059999999999999,4.868,1.432,3.165,0.0,2.824,2.823,2.302,1.254,9.346,1.247
13,630.0,5.829423163299706,1.741,1.767,5.077,1.423,0.0,125.013,3.742,0.0,0.0,1.0590000000000002,21.69,1.6740000000000002
14,632.0,5.806019824366869,0.596,0.0,3.02,0.0,0.0,7.436,49.983999999999995,0.0,2.313,0.8170000000000001,6.535,2.204
15,634.0,5.758847580686567,0.989,0.0,3.277,0.0,5.849,0.653,11.114,2.485,2.753,3.998,4.3889999999999985,8.839
16,636.0,5.735113676933862,0.753,1.499,0.0,6.013999999999999,3.123,0.95,0.0,1.452,2.305,2.407,3.7239999999999998,0.0
17,639.0,5.687351268637958,1.28,1.288,5.407,1.571,12.79,5.3,0.0,5.3020000000000005,25.417,1.197,8.775,0.0
18,640.0,5.674282004200253,1.063,2.612,8.052,1.733,7.397,1.496,0.741,2.965,5.95,1.3530000000000002,116.009,2.548
19,642.0,5.63487750476342,1.696,0.0,0.0,2.1630000000000003,5.228,0.985,0.606,4.436,6.256,1.027,0.0,0.0
20,644.0,5.607096887071627,2.105,3.736,2.333,0.0,0.0,1.203,0.575,6.247000000000001,3.237,0.0,0.0,0.0
21,646.0,5.563197273837341,4.19,0.0,5.22,1.247,10.911,1.023,0.8590000000000001,0.0,8.957,0.0,8.456,0.0
22,648.0,5.532228479342441,0.0,3.096,7.825,0.929,5.4860000000000015,1.305,0.66,4.666,5.4570000000000025,0.0,9.832,3.545
23,650.0,5.499580009312712,0.0,4.922,0.0,1.041,0.0,1.439,0.0,8.777000000000001,0.0,0.0,3.963,1.305
24,652.0,5.4667717357004335,1.933,1032.683,1.4,0.855,0.0,1.2429999999999999,1.848,0.0,31.105,0.0,9.346,4.89
25,654.0,5.432045810452904,1.151,0.0,0.0,0.982,0.0,12.098,1026.21,8.58,0.0,1.311,3.708,5.614
26,656.0,5.395473989249358,1.101,1.386,4.66,0.785,1.205,0.0,0.0,1.68,358.264,5.3229999999999995,0.0,1.2409999999999999
27,658.0,5.377073878453867,1.261,0.0,2.213,0.537,1.773,0.0,0.738,1.305,6.419,1.977,0.0,2.133
28,660.0,5.338220697323426,1.172,1.339,14.67,4.003,0.0,4.026,1.527,3.952,0.0,1.5659999999999998,5.403,2.268
29,660.0,5.338220697323426,1.172,1.339,14.67,4.003,0.0,4.026,1.527,3.952,0.0,1.5659999999999998,5.403,2.2680000000000002
30,662.0,5.297253698952362,0.6629999999999999,7.349,108.42399999999999,2.5660000000000003,1.501,1.6880000000000002,0.0,0.0,2.716,0.0,3.388,2.2230000000000003
31,664.0,5.276641111204341,0.934,12.624,3.74,1.925,9.363,1.11,1.419,0.7809999999999999,3.954,0.821,0.0,9.706
32,666.0,5.235158502612744,0.857,14.610999999999999,267.161,0.0,2.301,1.786,0.561,1.945,5.534,0.83,3.917,2.002
33,668.0,5.214323161439596,2.04,16.489,3.411,0.0,0.0,1.386,0.0,0.0,154.101,1.256,4.025,4.922
34,670.0,5.170266337889607,0.992,1.3230000000000002,4.428999999999999,0.0,150.194,1.6740000000000002,0.873,0.0,0.0,0.934,3.1289999999999996,5.7360000000000015
35,672.0,5.147046563163453,0.615,0.0,6.247000000000001,8.589,10.442,0.958,1.337,8.039,0.0,1.037,3.156,2.147
36,674.0,5.100322315894825,1.083,0.627,12.442,2.7319999999999998,8.206,0.703,0.0,7.904,1.246,2.998,9.706,3.64
37,676.0,5.076783952863184,7.515,1.27,0.0,8.074,4.115,1.097,2.255,2.74,0.0,21.271,3.92,9.414
38,679.0,5.024693916499314,2.863,4.7669999999999995,7.813,0.0,16.327,0.0,1.382,2.501,4.2330000000000005,0.5870000000000001,1.587,4.871
39,681.0,4.9984422681030605,5.613,0.0,0.0,2.444,0.0,2.1590000000000003,1.043,4.734,1.609,0.473,1.3530000000000002,3.534
40,682.0,4.972098961617661,8.151,0.0,26.897,0.0,7.242000000000001,1.733,0.0,0.0,2.715,0.583,1.331,11.571
41,684.0,4.945595796763422,3.346,6.615,3.3960000000000004,3.349,4.947,0.626,0.897,0.0,5.608,0.745,0.6990000000000001,4.253
42,687.0,4.892248159980066,0.0,3.2569999999999997,7.478,1.892,2.1430000000000002,0.966,0.8390000000000001,1.413,48.95,0.7190000000000001,1.182,0.0
43,689.0,4.862669314823597,1.6,8.621,0.0,1.044,3.867,0.627,0.6629999999999999,0.8370000000000001,5.579,0.851,1.689,4.115
44,690.0,4.8487228759760965,1.805,5.164,0.0,1.1440000000000001,3.79,0.0,0.561,0.7090000000000001,0.0,1.334,1.544,0.0
45,692.0,4.806664730570148,2.3480000000000003,46.323,0.905,0.861,0.0,0.631,0.6829999999999999,1.5759999999999998,9.919,1.283,1.3969999999999998,0.0
46,694.0,4.778461168590125,0.0,2.596,1.045,1.379,21.136999999999997,0.9059999999999999,0.8029999999999999,1.8780000000000001,31.537,1.608,0.768,2.99
47,698.0,4.720187077902779,2.265,4.968,0.0,0.0,3.502,0.732,0.733,0.951,0.0,1.253,5.789,1.88
48,704.0,4.622237616993765,149.417,6.263,0.0,0.9540000000000001,1.8419999999999999,5.274,1.218,1.6119999999999999,8.565,8.081,5.6160000000000005,5.2620000000000005
49,706.0,4.577088592204344,2.273,10.942,0.6809999999999999,0.845,2.016,11.684,1.42,1.081,2.071,73.637,3.5380000000000003,3.597
50,708.0,4.5521323230353365,1.854,8.852,0.0,0.8109999999999999,2.306,3.198,1.203,0.7070000000000001,2.169,36.446999999999996,7.849,8.211
51,711.0,4.5018149150263636,3.8,3.352,1.696,1.077,1.493,4.83,0.794,0.963,1.404,14.193,84.29799999999999,1.847
52,712.0,4.48942163564651,1.169,5.294,1.6130000000000002,1.194,1.433,8.743,0.8320000000000001,1.088,1.304,11.492,35.654,13.732999999999999
53,714.0,4.451988877090199,1.103,5.494,1.628,0.586,0.968,3.774,1.04,1.039,1.315,10.46,8.198,1.4
54,716.0,4.425636673797189,0.893,0.0,1.109,0.66,1.105,2.457,1.742,1.338,1.7369999999999999,4.9639999999999995,31.744,1.3769999999999998
55,718.0,4.384017668022734,1.1,10.914,0.847,0.785,1.412,204.745,7.463999999999999,0.0,2.782,3.3560000000000003,274.683,2.028
56,720.0,4.356077168016793,1.2819999999999998,5.053999999999999,1.072,0.805,0.72,3.0010000000000003,31.66800000000001,6.252999999999999,14.446,5.452000000000001,4.706,1.153
57,722.0,4.328017673411098,0.907,6.607,2.777,0.627,0.74,6.035,3.341,6.388,0.0,2.373,8.672,1.263
58,724.0,4.282832647088027,0.6709999999999999,2.133,3.6439999999999997,0.636,0.675,0.0,6.416,0.0,4.856,33.406,1.806,1.079
59,726.0,4.251573740401522,0.8009999999999999,1.884,46.466,1.176,0.8690000000000001,11.941,5.098,0.0,17.033,16.212,3.65,0.972
60,728.0,4.218546832503941,0.557,1.0979999999999999,12.88,2.582,2.9810000000000003,9.352,12.595,4.769,5.8020000000000005,20.906,1.6219999999999999,0.76
61,731.0,4.1837560100917885,0.746,2.139,3.0610000000000004,3.072,1.582,1.946,18.638,0.0,6.449,28.199,2.583,1.033
62,732.0,4.166252624258076,0.7170000000000001,1.479,10.388,4.74,1.3769999999999998,1.357,0.0,10.686,1.325,1.68,23.503,1.051
63,734.0,4.129379642199092,0.726,1.103,2.963,0.821,0.715,4.319,5.216,1.62,0.866,1.3119999999999998,6.005,1.84
64,736.0,4.090517576788267,0.85,1.5419999999999998,5.684,0.799,1.101,6.7079999999999975,0.0,1.3330000000000002,0.9590000000000001,0.853,3.326,1.973
65,739.0,4.051387253346471,0.812,1.06,5.6320000000000014,1.484,5.279,2.269,21.714,7.752000000000002,0.755,0.853,2.279,1.853
66,740.0,4.031717654255528,0.815,1.054,6.05,2.647,2.918,1.6059999999999999,2.967,2.0380000000000003,0.9890000000000001,0.767,9.845,1.4669999999999999
67,742.0,3.9921703326700086,0.885,0.86,2.461,4.927,1.914,2.017,1.254,6.886,1.263,0.911,16.651,1.189
68,744.0,3.9703123977296446,0.74,1.305,6.295,13.321,5.761,1.465,0.877,33.718,1.162,0.636,6.6560000000000015,1.179
69,746.0,3.9263621640915054,1.119,1.016,1.455,38.164,3.735,1.128,1.305,1.528,0.921,0.85,1.839,0.0
70,748.0,3.904236747925157,1.574,1.393,3.042,5.215,2.479,1.2990000000000002,2.935,0.0,1.063,0.695,1.146,3.497
71,751.0,3.8597869359163535,8.324,11.818,15.851,16.771,2.037,1.744,4.902,3.688,3.555,0.433,0.66,32.84
72,752.0,3.837429450196413,8.845,11.357999999999999,247.97,24.325,2.863,2.273,8.975,4.495,2.451,0.26899999999999996,0.7240000000000001,5.807
73,755.0,3.79021115421336,7.209,7.5939999999999985,5.289,5.251,18.08,1.745,1.11,7.706,28.691,0.0,0.923,15.701
74,756.0,3.765320039697933,1.59,7.857,5.067,7.676,4.777,1.557,0.768,1.2229999999999999,5.7379999999999995,0.728,1.268,44.895
75,758.0,3.7403442402838434,1.178,1.815,4.327,8.857000000000003,2.801,0.964,0.596,0.8190000000000001,5.73,1.371,1.234,8.064
76,761.0,3.6900396490094094,7.294,6.1720000000000015,7.053999999999999,0.0,2.521,0.9640000000000001,0.622,0.85,3.161,0.813,0.8059999999999999,31.719
77,763.0,3.6647448434540313,5.544,6.716,4.168,4.311,30.913,0.935,0.561,0.932,3.645,0.613,0.726,2.818
78,764.0,3.6393332294665535,4.521,95.514,3.252,2.227,18.258,0.903,0.688,0.8320000000000001,21.91800000000001,0.568,1.037,6.141
79,766.0,3.611243287317557,29.068,6.121,1.234,1.457,6.31,0.911,0.6859999999999999,1.004,2.317,0.91,1.621,5.4270000000000005
80,768.0,3.5830408109660965,9.695,1.743,1.554,4.154,6.226,0.6579999999999999,0.5870000000000001,1.0270000000000001,6.845,1.9980000000000002,1.02,3.102
81,770.0,3.5406764130714983,7.882999999999999,1.341,1.327,1.278,6.7170000000000005,0.679,0.772,1.253,2.883,1.29,2.521,14.487
82,772.0,3.5122938050100214,6.254,1.9280000000000002,1.8530000000000002,1.3840000000000001,19.203,0.8240000000000001,0.8440000000000001,1.365,1.9769999999999999,3.158,4.52,4.462
83,774.0,3.480915262767496,13.166,2.815,1.567,1.151,7.767,0.888,0.731,0.705,4.402,15.31,22.975,4.553
84,776.0,3.4493642568072502,21.213,2.029,0.9279999999999999,0.725,14.547,0.7829999999999999,0.659,1.062,2.516,10.822000000000001,10.868,4.6339999999999995
85,778.0,3.4176414378115427,34.741,4.726,0.569,0.563,7.4460000000000015,0.905,0.8490000000000001,1.385,2.9,2.815,5.409,9.178
86,780.0,3.384160105599035,3.423,6.504,0.6579999999999999,0.652,5.365,1.413,1.083,2.513,1.671,6.4639999999999995,10.035,3.503
87,782.0,3.3488592409068514,1.62,2.169,0.6629999999999999,0.7240000000000001,1.16,28.385,1.087,1.4880000000000002,3.414,4.962,7.106,2.489
88,784.0,3.313394622547607,3.863,4.414,1.209,0.6779999999999999,0.9470000000000001,3.898,3.47,7.6789999999999985,3.156,31.862,13.98,5.078
89,786.0,3.2955764075645178,3.352,32.881,1.6740000000000002,0.5670000000000001,1.1840000000000002,4.244,4.848,2.384,3.099,65.842,5.385,2.075
90,788.0,3.2597687795980548,0.892,5.242000000000001,1.5619999999999998,0.6759999999999999,1.1740000000000002,6.874,0.9309999999999999,0.9109999999999999,8.013,8.495,3.272,2.051
91,790.0,3.220194766662841,0.727,1.826,4.592,0.4970000000000001,1.018,3.405,0.6890000000000001,1.414,1.977,2.972,9.672,1.63
92,792.0,3.2002516129970497,0.782,1.449,2.43,0.545,1.3030000000000002,5.784,0.899,1.38,1.976,8.81,17.947,1.511
93,794.0,3.1602677614677805,0.773,2.037,7.229,0.6920000000000001,0.941,13.489,0.923,0.969,2.09,10.211,14.388,1.402
94,797.0,3.1200013903966006,0.878,1.693,3.062,0.583,0.79,3.839,1.557,1.92,5.811,15.719000000000001,13.981,1.588
95,798.0,3.099787303245713,0.8859999999999999,1.305,6.546,0.491,0.758,11.751,4.32,28.449,3.478,4.5360000000000005,229.652,3.04
96,801.0,3.0550041800656924,0.83,1.331,3.787,0.4920000000000001,0.89,8.121,23.88,9.12,76.196,1.64,2.685,2.23
97,802.0,3.032536332071169,0.875,1.545,0.0,0.5539999999999999,1.092,10.94,8.346,4.647,0.0,1.711,5.332999999999998,2.248
98,805.0,2.987318142080252,0.884,1.074,7.4689999999999985,2.488,0.988,5.358,8.051,3.139,15.485999999999999,5.422999999999999,3.444,1.805
99,806.0,2.964568325761885,0.9,1.226,15.867,1.663,1.18,24.748,2.276,37.72,16.699,2.068,43.76,1.6469999999999998
100,808.0,2.9417685863907828,0.7,1.3730000000000002,23.504,4.386,0.9940000000000001,39.595,2.591,8.266,52.106,3.145,12.716,1.567
101,810.0,2.9044341091206314,0.942,2.553,9.379,15.468,3.406,6.189,14.383,10.668,5.357,3.294,106.836,1.535
102,812.0,2.879459068881067,0.8959999999999999,21.305999999999997,16.23,4.128,5.05,37.764,5.581,14.215,6.1129999999999995,2.772,5.857,1.508
103,814.0,2.8405017740176532,1.601,30.261,3.693,7.896,2.72,15.794,16.518,16.241,2.178,1.707,3.103,3.184
104,816.0,2.8127777060410555,1.7469999999999999,84.572,5.513,2.806,1.49,6.615,25.474,8.427,22.408,2.076,6.001,5.996
105,818.0,2.784817132151856,1.368,6.117000000000001,3.829,4.129,3.237,18.91,13.009,6.6679999999999975,22.237,1.886,4.1080000000000005,2.542
106,820.0,2.7427265610184968,0.609,1.847,4.3210000000000015,4.721,5.901,8.794,1.9580000000000002,9.645,5.231,1.54,6.539,1.334
107,822.0,2.7117133543835266,0.963,1.319,7.629,9.289,7.409,6.851,1.6469999999999998,3.883,7.54,1.336,17.531,0.917
108,824.0,2.68053568833356,0.795,1.048,5.885,3.4819999999999998,3.003,9.632,1.179,23.559,2.412,0.748,9.266,1.145
109,826.0,2.6491942320886306,1.089,1.213,6.033,2.142,4.07,6.1370000000000005,1.304,2.436,2.899,0.782,2.188,1.266
110,828.0,2.614521529925911,0.943,2.013,4.191,1.361,2.428,7.579,1.709,6.766,1.985,0.7879999999999999,4.957,1.0290000000000001
111,830.0,2.5970701812222377,1.01,3.0860000000000003,10.651,1.851,0.0,6.688,1.915,13.155,1.4880000000000002,0.919,3.228,1.45
112,832.0,2.562131922884664,2.1959999999999997,6.763999999999999,11.231,2.3,2.7230000000000003,23.316999999999997,4.979,6.157,1.51,0.774,2.022,5.1
113,834.0,2.526974675067546,1.413,2.238,2.714,9.162,51.221,6.155,1.336,25.39,0.964,0.4970000000000001,3.568,1.734
114,836.0,2.4916638430941767,1.4769999999999999,1.6569999999999998,2.13,1.9380000000000002,35.3,2.615,1.237,6.5820000000000025,0.86,0.94,2.9219999999999997,1.876
115,839.0,2.452533894244416,1.044,1.374,89.815,11.773,4.279,2.818,1.5119999999999998,34.179,1.607,1.094,23.07800000000001,2.407
116,840.0,2.432923249867974,0.9840000000000001,1.7109999999999999,6.3839999999999995,4.504,10.925,2.5669999999999997,2.199,11.300999999999998,2.8989999999999996,1.141,5.3020000000000005,3.6510000000000002
117,842.0,2.3934185607529006,1.346,2.844,7.326,2.1630000000000003,10.238,2.667,2.874,7.026,1.152,0.7190000000000001,1.012,3.971
118,844.0,2.3735891273313907,1.923,1.694,4.846,1.848,19.241,2.184,9.123,3.486,1.301,0.583,0.9570000000000001,6.0360000000000005
119,846.0,2.3337768208667296,2.156,1.98,5.448,11.733,5.439,5.086,0.815,2.928,0.93,0.601,0.8240000000000001,7.153
120,848.0,2.3137302192753904,1.595,2.943,10.696,10.193,13.243,2.349,0.711,0.0,0.985,0.74,0.934,37.15
121,850.0,2.2695211717420958,3.893,3.6010000000000004,2.344,23.864,13.719,1.019,0.913,7.917999999999997,1.012,1.069,1.88,119.245
122,853.0,2.224930415431526,2.478,2.465,8.23,6.537000000000001,5.169,0.0,1.16,3.5669999999999997,0.0,2.001,2.28,12.15
123,855.0,2.2025324624786755,6.549,2.358,18.635,11.595999999999998,2.857,1.043,0.932,2.708,0.0,1.266,2.867,3.524
124,856.0,2.1800876680884858,10.737,37.049,12.222000000000001,7.1129999999999995,9.749,0.927,1.141,4.26,2.859,1.235,2.086,16.111
125,858.0,2.1575325154817357,7.081,11.226,11.565,1.659,6.149,0.952,1.319,1.654,9.474,1.3130000000000002,2.638,5.885
126,860.0,2.112219607618881,3.9010000000000002,4.967,5.042,2.524,6.492000000000001,1.222,1.271,13.809000000000001,2.263,1.119,2.1790000000000003,4.905
127,862.0,2.087111301115557,6.428,198.694,3.73,7.224,5.697,1.12,1.739,2.697,5.043,3.555,2.202,17.243
128,864.0,2.0619610942752065,27.872,10.36,1.901,3.24,72.75,1.341,1.406,31.645,5.7010000000000005,9.109,1.364,14.084000000000001
129,867.0,2.0113456725416192,142.09799999999996,72.205,3.327,8.182,17.201,1.193,1.111,2.024,9.438,2.46,1.529,5.233
130,870.0,1.9603127121682111,6.466,10.023,1.6269999999999998,9.515,4.762,0.9279999999999999,0.8370000000000001,1.3730000000000002,5.159,1.625,4.289,15.51
131,872.0,1.9346405898490333,6.897,2.641,1.266,3.99,3.503,0.909,0.966,1.083,3.452,1.439,2.546,7.105
132,875.0,1.883050037737778,10.815999999999999,2.9,0.82,2.944,4.021,0.988,0.8109999999999999,1.495,6.612,2.124,2.012,8.711
133,877.0,1.8544850560257515,12.805,1.13,1.014,1.686,6.55,0.79,0.933,1.9,4.63,2.221,2.617,4.426
