,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,4.533,0.0,0.0,1.366,10.54,1.81,0.0,1.248,3.574,0.0,11.855,3.479
1,604.0,6.257021370782392,1.3430000000000002,3.772,1.2009999999999998,0.0,0.0,0.0,0.0,0.0,1.4140000000000001,10.319,3.165,2.039
2,608.0,6.198067183682968,1.344,0.0,3.115,1.385,1.7990000000000002,0.0,0.895,92.918,7.885,4.602,16.838,2.767
3,610.0,6.166826674452982,0.6859999999999999,2.4819999999999998,3.11,1.569,0.0,0.0,0.0,3.303,3.892,5.207999999999998,6.797999999999999,1.818
4,612.0,6.133891202463207,0.94,2.633,0.0,1.116,1.113,0.0,27.042,3.739,4.374,0.0,0.0,1.229
5,614.0,6.100719280344513,0.7979999999999999,0.917,0.0,0.0,1.569,2.512,1.09,1.7919999999999998,0.0,0.0,0.0,0.9640000000000001
6,616.0,6.067346103953526,0.0,6.695,0.0,1.274,0.0,0.0,1.537,1.841,19.131,2.972,0.0,0.5
7,618.0,6.032072868913223,1.278,12.479000000000001,9.636000000000001,1.2890000000000001,0.0,57.20399999999999,15.402000000000001,5.461,27.169,8.205,0.0,0.9209999999999999
8,620.0,5.9948320266449295,1.179,4.034,4.811,0.6559999999999999,0.0,39.321,11.220999999999998,8.652999999999999,0.0,0.0,0.0,2.257
9,622.0,5.957324003606695,1.19,19.069000000000006,0.0,1.459,7.721,5.9479999999999995,12.568,13.882,6.402,5.6960000000000015,18.798,0.0
10,624.0,5.9365639909968575,1.176,1.595,0.0,0.835,1.264,2.3,0.0,6.089,15.28,2.998,0.0,1.332
11,626.0,5.894811696137233,0.0,0.9690000000000001,0.0,2.122,2.603,11.629000000000001,3.748,243.585,36.376999999999995,0.0,4.944,1.358
12,629.0,5.85272746861963,0.742,0.977,3.359,1.57,3.5210000000000004,0.0,6.325,1.891,4.698,1.4409999999999998,0.0,1.155
13,630.0,5.829423163299706,0.879,0.0,0.0,1.538,1.348,35.964,2.8369999999999997,9.173,0.0,1.1840000000000002,0.0,1.305
14,632.0,5.806019824366869,1.6969999999999998,0.0,3.959,3.652,1.803,20.408,4.937,0.0,2.236,0.838,4.011,2.035
15,634.0,5.758847580686567,1.005,0.8240000000000001,10.599,0.0,3.305,1.077,5.642,36.977,3.4410000000000003,5.912999999999999,4.673,2.938
16,636.0,5.735113676933862,0.772,0.0,0.0,0.0,3.346,1.798,0.0,25.164,2.68,0.0,3.968,0.0
17,639.0,5.687351268637958,1.6880000000000002,1.22,12.192,1.5830000000000002,4.894,10.103,0.807,1.725,3.455,1.149,28.989,0.0
18,640.0,5.674282004200253,1.455,1.368,9.253,1.449,13.517,1.18,0.0,2.995,4.347,1.14,6.523,1.187
19,642.0,5.63487750476342,1.071,0.0,1.304,0.0,3.4589999999999996,1.038,0.79,3.824,1.69,1.133,0.0,0.0
20,644.0,5.607096887071627,1.622,5.1080000000000005,8.097000000000001,0.0,0.0,1.379,0.667,12.880999999999998,1.279,0.0,0.0,0.0
21,646.0,5.563197273837341,4.584,6.0870000000000015,9.571,1.483,14.595,1.0490000000000002,1.365,3.94,2.908,0.0,1.712,2.052
22,648.0,5.532228479342441,0.0,2.669,4.634,1.182,5.765,1.461,0.889,0.0,5.332000000000002,0.0,7.257999999999999,0.0
23,650.0,5.499580009312712,0.0,4.092,2.5660000000000003,1.568,3.19,1.396,0.0,2.042,4.988,0.0,3.26,2.943
24,652.0,5.4667717357004335,0.0,6.135,1.232,3.571,4.765,1.177,1.6880000000000002,6.7620000000000005,9.543,0.0,4.779,4.598
25,654.0,5.4320458104529035,3.694,0.0,4.268,2.017,0.0,2.685,2.8139999999999996,6.271,11.747,1.8519999999999999,156.528,4.962
26,656.0,5.395473989249358,1.429,2.017,2.643,1.125,1.108,0.0,0.674,2.047,0.0,2.335,0.0,1.251
27,658.0,5.377073878453867,0.0,0.0,2.927,1.006,2.3080000000000003,3.122,0.758,1.8030000000000002,0.0,19.719,0.0,3.486
28,660.0,5.338220697323426,1.344,1.4,8.574,5.186,0.0,3.548,1.3419999999999999,0.0,6.754,1.599,3.159,2.45
29,660.0,5.338220697323426,1.344,1.4,8.574,5.186,0.0,3.548,1.342,0.0,6.754,1.599,3.159,2.45
30,662.0,5.297253698952362,1.56,2.407,26.498,3.4930000000000003,1.905,1.6909999999999998,0.833,1.14,6.013,8.749,2.599,4.4060000000000015
31,664.0,5.276641111204341,1.43,5.1110000000000015,4.805,2.081,12.648,1.195,0.858,0.0,3.1010000000000004,0.8170000000000001,0.0,12.872
32,666.0,5.235158502612744,1.148,13.983,9.243,1.28,0.0,1.505,0.741,0.0,0.0,0.8079999999999999,4.727,3.369
33,668.0,5.214323161439596,2.064,24.393,7.997000000000001,0.0,0.0,1.4,1.32,0.0,7.519,1.285,4.087,5.966
34,670.0,5.170266337889607,1.238,1.297,4.334,23.451,10.571,1.706,0.971,0.0,1.185,0.893,2.702,8.003
35,672.0,5.147046563163453,1.1159999999999999,5.8020000000000005,52.111999999999995,0.0,0.0,0.883,1.22,0.0,0.0,0.941,6.598,2.074
36,674.0,5.100322315894825,1.194,1.385,0.0,2.18,25.31,0.752,2.099,13.57,0.0,3.833,7.777,6.974
37,676.0,5.076783952863184,6.223,2.412,14.58,2.408,6.9639999999999995,0.997,1.964,11.918,2.9589999999999996,5.022,10.447000000000001,13.140999999999998
38,679.0,5.024693916499314,3.796,6.129,14.448,0.0,364.037,1.494,1.296,2.63,7.229,0.821,3.334,17.122
39,681.0,4.9984422681030605,5.404,10.467,6.4220000000000015,1.9480000000000002,39.735,2.129,1.123,4.65,1.699,0.9520000000000001,1.45,2.858
40,682.0,4.972098961617661,10.012,9.717,7.933,0.0,7.171,1.803,1.0659999999999998,0.0,4.419,0.805,1.382,42.53100000000001
41,684.0,4.945595796763422,11.717,12.014000000000001,11.145999999999999,1.84,4.2780000000000005,0.539,0.914,1.54,16.349,0.8390000000000001,0.848,3.35
42,687.0,4.892248159980066,1.828,23.338,12.247,0.0,3.992,1.015,0.815,1.473,10.841,0.932,1.264,6.495
43,689.0,4.862669314823597,1.0590000000000002,10.77,5.45,1.376,2.8169999999999997,0.626,0.65,0.7290000000000001,13.133,1.2409999999999999,1.6980000000000002,0.0
44,690.0,4.8487228759760965,1.656,7.239,8.062000000000001,0.0,0.0,0.552,0.5379999999999999,0.825,23.854,1.351,2.467,0.0
45,692.0,4.806664730570148,2.605,24.851,2.73,1.092,8.955,0.7,0.648,1.646,13.818,1.56,1.216,2.443
46,694.0,4.778461168590125,1.163,4.947,1.454,1.409,12.275,0.972,0.0,1.791,0.0,1.794,0.7659999999999999,3.859
47,698.0,4.720187077902779,2.943,5.871,0.0,0.0,5.818,0.0,0.7190000000000001,0.996,10.89,1.349,8.634,4.027
48,704.0,4.622237616993765,4.872,4.5939999999999985,0.562,1.315,1.943,4.971,1.089,1.844,0.0,8.687000000000001,4.61,4.855
49,706.0,4.577088592204344,0.0,5.892,0.9470000000000001,0.0,3.722,45.805,1.7369999999999999,1.294,3.4389999999999996,32.994,0.0,2.8939999999999997
50,708.0,4.5521323230353365,1.2919999999999998,4.749,1.056,1.168,2.864,3.873,1.694,0.894,2.818,10.089,3.695,2.89
51,711.0,4.501814915026364,3.33,3.9539999999999997,2.01,1.202,1.558,7.784,0.84,1.13,2.199,16.747,30.989,1.992
52,712.0,4.48942163564651,2.297,9.021,1.868,1.207,1.561,13.178,0.863,1.325,1.883,56.663,11.645,5.07
53,714.0,4.451988877090199,1.495,7.567,1.901,0.782,1.0270000000000001,3.783,1.141,1.146,1.734,7.59,8.113,1.565
54,716.0,4.425636673797189,0.979,4.493,1.285,0.7909999999999999,0.0,2.641,1.734,1.554,2.275,6.159,20.654,1.3430000000000002
55,718.0,4.384017668022734,1.1540000000000001,4.877,1.0170000000000001,0.877,1.527,18.982,8.865,1.944,8.283,3.201,19.494,1.376
56,720.0,4.356077168016793,0.987,5.563,1.226,0.982,0.779,5.339,7.517,5.164,11.032,6.478,4.534,1.227
57,722.0,4.328017673411098,1.073,6.522,8.22,0.696,0.763,6.079,4.96,17.927,14.064,2.426,19.623,1.286
58,724.0,4.282832647088027,0.764,2.193,6.17,0.615,0.8590000000000001,12.428,4.482,0.0,6.565,10.163,1.92,1.175
59,726.0,4.251573740401522,0.858,0.0,6.836,1.271,0.9109999999999999,6.2079999999999975,0.0,17.266,21.764,10.460999999999999,3.62,1.0290000000000001
60,728.0,4.218546832503941,0.631,1.1840000000000002,18.172,2.829,3.133,22.952,0.0,3.522,8.44,5.1110000000000015,1.731,0.8540000000000001
61,731.0,4.1837560100917885,0.7829999999999999,1.5630000000000002,19.875999999999998,5.617000000000001,1.6219999999999999,2.024,42.713,2.667,12.037,9.324,2.886,1.099
62,732.0,4.1662526242580755,0.894,1.634,3.338,4.779,1.4680000000000002,1.501,8.526,6.3279999999999985,5.891,2.07,10.912,1.134
63,734.0,4.129379642199092,0.8759999999999999,1.127,3.182,0.932,0.653,6.516,55.00100000000001,4.899,1.311,1.2919999999999998,28.256999999999998,1.995
64,736.0,4.090517576788267,0.934,1.652,5.994,0.848,1.093,10.841,0.0,2.045,1.165,0.929,6.464,2.139
65,739.0,4.051387253346471,0.89,1.126,5.537000000000001,2.017,0.0,2.591,8.577,11.113,1.013,1.025,3.5039999999999996,1.9669999999999999
66,740.0,4.031717654255528,0.87,1.136,5.558,3.064,3.133,6.357,1.962,2.28,1.24,0.8440000000000001,4.67,1.531
67,742.0,3.9921703326700086,0.0,1.005,2.327,8.092,2.515,2.577,1.271,8.962,1.396,0.91,29.063000000000002,1.244
68,744.0,3.9703123977296446,0.0,1.4069999999999998,13.98,3.287,6.165,1.654,0.993,9.599,1.171,0.6970000000000001,7.588999999999999,1.18
69,746.0,3.9263621640915054,1.39,1.22,1.781,7.2970000000000015,3.266,1.09,1.354,2.092,1.037,0.953,2.102,8.386000000000001
70,748.0,3.904236747925157,1.826,1.53,2.917,77.781,2.575,1.43,3.464,0.0,1.156,0.815,1.238,0.0
71,751.0,3.8597869359163535,6.29,7.565,10.026,47.806000000000004,2.208,1.6969999999999998,4.545,3.062,2.873,0.48,0.708,7.011
72,752.0,3.837429450196413,10.774,9.834,19.391,13.509,3.053,2.286,6.307,3.75,2.468,0.307,0.752,6.5710000000000015
73,755.0,3.79021115421336,43.915,5.032,5.914,5.193,10.321,1.694,1.145,6.56,7.463999999999999,0.413,1.028,11.34
74,756.0,3.7653200396979334,1.773,3.895,4.7189999999999985,8.941,2.518,1.569,0.8190000000000001,0.0,7.149,0.853,1.3330000000000002,13.042
75,758.0,3.7403442402838434,1.2590000000000001,1.8530000000000002,6.501,27.901,3.0610000000000004,1.005,0.57,1.193,11.61,1.4080000000000001,1.3119999999999998,9.823
76,761.0,3.6900396490094094,9.596,4.431,0.0,3.039,3.156,1.044,0.6559999999999999,0.969,3.655,0.943,0.8320000000000001,174.019
77,763.0,3.6647448434540313,119.03200000000001,6.3420000000000005,4.234,0.0,24.685,0.985,0.536,1.046,3.9760000000000004,0.613,0.805,3.637
78,764.0,3.6393332294665535,119.919,33.175,3.592,2.872,11.007,0.955,0.715,0.921,15.305,0.595,1.045,36.323
79,766.0,3.611243287317557,59.838,8.699,1.176,1.598,14.300999999999998,0.972,0.7140000000000001,1.1,7.898,0.895,1.713,19.287
80,768.0,3.5830408109660965,8.677999999999999,1.961,1.546,3.816,6.35,0.758,0.642,1.156,6.4579999999999975,1.787,1.027,3.19
81,770.0,3.5406764130714983,11.569,1.528,1.608,1.436,9.789,0.713,0.838,1.26,12.95,1.325,2.544,54.051
82,772.0,3.5122938050100214,24.307,1.869,13.665,1.481,10.088,0.8759999999999999,0.943,1.197,2.358,3.125,18.223,0.0
83,774.0,3.480915262767496,13.485999999999999,3.205,1.87,1.266,5.723,0.9079999999999999,0.773,0.828,4.774,11.377,32.301,12.061
84,776.0,3.4493642568072502,12.705,3.232,1.029,0.802,4.092,0.841,0.7190000000000001,1.246,2.585,17.344,56.895,24.42
85,778.0,3.4176414378115427,4.658,4.857,0.642,0.599,12.372,0.9,0.884,1.555,3.43,2.752,10.491,3.779
