,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,7.702000000000001,8.025,9.499,9.288,0.0,7.326,0.0,0.0,5.443,6.346,8.954,9.102
1,604.0,6.257021370782392,7.343,5.836,5.846,8.638,8.921,9.046,8.3,7.9570000000000025,7.858,7.795,7.955,8.557
2,608.0,6.198067183682968,6.46,6.2079999999999975,0.0,0.0,9.086,0.0,5.269,9.213,8.01,7.899,0.0,7.9689999999999985
3,610.0,6.166826674452982,5.227,7.722,10.195,0.0,6.011,7.002999999999999,6.392,0.0,10.552,8.822000000000003,6.75,5.28
4,612.0,6.133891202463207,6.474,7.555,7.297999999999999,0.0,7.105,7.439,9.603,10.699000000000002,12.217,0.0,0.0,6.145
5,614.0,6.100719280344513,0.0,8.282,9.12,0.0,0.0,7.7170000000000005,0.0,12.304,8.922,0.0,6.034,5.477
6,616.0,6.067346103953526,0.0,6.482,8.544,5.556,11.004,5.193,0.0,12.574000000000002,8.111,7.439,5.824,5.147
7,618.0,6.032072868913223,6.416,7.767,8.186,0.0,5.615,7.0470000000000015,10.265999999999998,0.0,6.678999999999999,5.992000000000001,5.2410000000000005,0.0
8,620.0,5.9948320266449295,7.195,6.5870000000000015,0.0,0.0,7.642,6.871,8.74,10.924,5.454,0.0,8.502,9.154
9,622.0,5.957324003606695,0.0,5.011,4.846,0.0,7.855,4.725,7.605,8.645,8.544,6.662999999999999,9.427999999999999,5.747000000000001
10,624.0,5.9365639909968575,0.0,0.0,0.0,5.442,6.711,6.733,10.15,10.504,9.255,8.314,8.195,7.159
11,626.0,5.894811696137233,6.96,0.0,0.0,5.2170000000000005,5.819,7.925,6.875,9.49,7.869,8.895,9.128,5.8020000000000005
12,629.0,5.85272746861963,7.365,4.164,5.5120000000000005,0.0,7.295,6.882999999999999,8.213,6.938,0.0,14.238,11.267,0.0
13,630.0,5.829423163299706,5.037,4.927,5.566,6.403,7.285,5.0360000000000005,6.876,6.22,0.0,10.738,9.299,4.052
14,632.0,5.806019824366869,4.334,4.908,4.5760000000000005,6.976,0.0,7.13,7.16,5.624,8.658999999999999,8.926,9.755,0.0
15,634.0,5.758847580686567,0.0,0.0,0.0,4.913,0.0,4.9910000000000005,0.0,6.382999999999999,0.0,8.92,5.556,5.192
16,636.0,5.735113676933862,5.778,0.0,0.0,0.0,5.474,0.0,5.6160000000000005,6.73,9.289,7.653,0.0,5.352
17,639.0,5.687351268637958,0.0,0.0,5.624,4.524,4.954,6.02,5.16,0.0,6.805,8.0,8.019,4.755
18,640.0,5.674282004200253,0.0,6.768,6.127999999999999,5.441,0.0,4.992,0.0,0.0,0.0,9.551,7.037000000000001,0.0
19,642.0,5.63487750476342,4.39,0.0,4.706,6.749,0.0,5.3770000000000024,0.0,0.0,8.224,8.472999999999999,6.8229999999999995,5.35
20,644.0,5.607096887071627,5.101,0.0,4.7639999999999985,4.457,6.8729999999999976,6.965,5.919,0.0,5.115,7.529,5.555,5.426
21,646.0,5.563197273837341,4.292,0.0,6.817,8.604,7.735,6.0020000000000024,0.0,0.0,5.63,5.803999999999999,6.702000000000001,6.7360000000000015
22,648.0,5.532228479342441,0.0,0.0,7.848,6.912000000000001,6.809,0.0,0.0,5.209,7.386,6.375,7.17,5.528
23,650.0,5.499580009312712,0.0,5.2010000000000005,8.411,6.874,8.837,5.122999999999998,0.0,8.408,9.677,7.984,5.882999999999999,5.0969999999999995
24,652.0,5.4667717357004335,7.62,6.478,6.456,8.745,0.0,3.418,4.724,0.0,5.603,5.619,0.0,5.614
25,654.0,5.4320458104529035,7.605,6.784,7.44,8.121,5.109,5.313,5.479,6.466,0.0,0.0,0.0,7.367000000000001
26,656.0,5.395473989249358,6.84,7.332000000000002,5.98,7.582999999999997,3.807,0.0,5.3820000000000014,7.6629999999999985,4.271,0.0,0.0,5.27
27,658.0,5.377073878453867,6.8820000000000014,0.0,7.602,5.345,0.0,5.439,6.6110000000000015,6.025,6.754,9.667,5.975,4.481
28,660.0,5.338220697323426,7.372000000000001,5.727,0.0,3.85,0.0,5.035,6.5020000000000024,6.072,0.0,6.142,0.0,7.455
29,660.0,5.338220697323426,7.372000000000001,5.727,0.0,3.85,0.0,5.035,6.502000000000002,6.072,0.0,6.142,0.0,7.455
30,662.0,5.297253698952362,5.215,0.0,5.716,4.776,5.377999999999999,8.662,8.249,6.706,0.0,0.0,6.979,8.488999999999999
31,664.0,5.276641111204341,0.0,0.0,7.52,4.796,8.767999999999999,6.324,8.12,0.0,0.0,5.073,8.078,6.724
32,666.0,5.235158502612744,4.94,4.433,6.546,6.098,4.7010000000000005,5.836,5.9110000000000005,0.0,4.925,0.0,7.441,7.0310000000000015
33,668.0,5.214323161439596,0.0,4.272,0.0,5.021,4.3469999999999995,5.11,5.487,0.0,4.45,7.187,7.004,7.407
34,670.0,5.170266337889607,4.216,5.5420000000000025,4.863,6.6960000000000015,5.9289999999999985,5.459,4.942,3.542,5.394,5.948,4.684,5.044
35,672.0,5.147046563163453,5.082,5.492000000000001,0.0,5.596,6.1670000000000025,5.371,5.811,0.0,0.0,6.942,5.938,0.0
36,674.0,5.100322315894825,4.471,6.231,6.084,4.833,6.073,5.9,0.0,0.0,4.785,7.286,7.457000000000002,0.0
37,676.0,5.076783952863184,4.763,7.98,6.818,4.954,4.852,6.091,5.731,0.0,5.22,6.898,6.985,4.187
38,679.0,5.024693916499314,5.681,7.598,6.726,4.718,5.7929999999999975,7.359,7.273,4.467,5.147,6.856,5.205,3.938
39,681.0,4.9984422681030605,6.15,9.953,6.8210000000000015,7.265,5.244,6.068,7.5429999999999975,5.807,6.6160000000000005,7.601,5.9670000000000005,0.0
40,682.0,4.972098961617661,6.579,7.89,6.624,5.414,4.384,6.335,4.404,4.44,4.68,6.272,0.0,4.431
41,684.0,4.945595796763422,7.334,7.678,0.0,7.062,5.209,6.0920000000000005,0.0,0.0,5.596,5.869,4.404,4.0710000000000015
42,687.0,4.892248159980066,5.1789999999999985,8.14,5.492000000000001,6.672999999999999,5.61,6.9270000000000005,6.603,0.0,3.823,7.584,5.689,5.135
43,689.0,4.862669314823597,4.2989999999999995,5.691,4.493,0.0,6.09,7.03,4.5710000000000015,0.0,5.274,7.322999999999999,6.801,4.772
44,690.0,4.8487228759760965,5.606,5.964,6.2189999999999985,10.923,7.272,6.3420000000000005,4.98,0.0,6.803,7.671,5.182,3.945
45,692.0,4.806664730570148,5.723,3.989,4.94,7.004,7.586,5.558,5.544,5.711,6.468,8.235,5.65,4.501
46,694.0,4.778461168590125,4.677,0.0,0.0,6.284,6.99,5.978,4.654,4.243,6.2079999999999975,6.1789999999999985,5.513,5.2429999999999986
47,698.0,4.720187077902779,5.022,4.792,0.0,5.761,6.626,5.087,5.687,0.0,4.499,5.362,6.195,6.104
48,704.0,4.622237616993765,9.262,5.4579999999999975,4.0710000000000015,7.662000000000001,8.283,8.405,5.146,6.556,8.023,7.741,5.546,8.488999999999999
49,706.0,4.577088592204344,7.872000000000001,4.633,5.402,9.336,7.6720000000000015,5.7989999999999995,5.718999999999999,6.1,6.892,7.205,6.313,9.127
50,708.0,4.5521323230353365,6.434,4.03,6.589,7.6,8.116,8.413,8.33,9.515,8.719,7.017,5.829,9.655
51,711.0,4.501814915026364,5.575,5.375,8.708,10.558,8.406,4.7989999999999995,5.79,8.179,8.445,6.062,8.122,7.978
