,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,692.0,4.806664730570148,2.861344557971739,2.478,1.864,2.207,6.234,2.242,0.0,1.205,0.878,1.661,4.868,3.641
1,694.0,4.778461168590125,4.336824026655898,3.223,1.269,3.06,0.0,2.76,2.777,0.0,4.224,1.646,0.973,2.981
2,698.0,4.720187077902779,1.885068744483572,0.975,1.847,4.579,1.529,1.848,2.387,2.444,2.075,1.069,0.0,2.945
3,700.0,4.689300957922461,0.0,0.0,0.721,0.963,6.049,3.433,4.378,6.561,4.397,2.026,4.235,4.19
4,702.0,4.644673480769162,2.477033688010656,1.879,1.263,2.114,2.63,0.0,0.0,3.846,0.0,4.686,5.009,3.285
5,704.0,4.622237616993765,3.799143031143706,3.658,1.82,1.309,2.148,2.809,2.167,2.381,4.477,0.0,2.522,4.657
6,706.0,4.577088592204344,3.491290493718516,7.511,0.0,4.701,1.713,0.0,0.0,5.703,2.59,3.176,3.038,0.0
7,708.0,4.552132323035337,5.322000283395753,0.0,3.341,0.0,2.091,3.902,1.121,1.231,4.215,7.343,1.675,1.407
8,711.0,4.501814915026364,3.316948840777075,1.552,2.641,4.534,5.54,4.346,2.32,2.697,2.566,1.321,0.0,3.98
9,712.0,4.48942163564651,8.342804111774692,2.022,1.729,2.57,3.747,5.355,3.866,2.336,4.42,1.881,1.395,1.66
10,714.0,4.451988877090198,1.1293111151959103,1.625,7.529,1.684,0.0,0.0,5.548,5.029,3.23,0.0,2.941,3.038
11,716.0,4.425636673797188,6.4279114612947685,1.288,1.435,2.618,4.149,2.132,2.968,2.892,5.233,6.448,1.78,1.764
12,718.0,4.384017668022734,2.453823345825502,1.569,5.787,1.251,0.0,2.034,9.221,6.269,0.0,0.0,2.826,4.249
13,720.0,4.356077168016794,4.232113191076659,3.071,1.328,2.821,3.302,1.79,1.366,5.872,6.743,3.568,4.084,2.793
14,722.0,4.328017673411098,0.0,3.353,4.125,1.789,1.55,6.388,4.761,1.177,1.626,9.033,3.331,3.19
15,724.0,4.282832647088027,3.6872765817095297,6.401,0.0,3.544,7.483,2.156,1.136,1.812,6.497,2.343,1.428,3.741
16,726.0,4.251573740401522,3.351549521511088,4.004,0.0,3.392,0.0,5.234,4.022,2.532,1.265,2.05,4.877,2.809
17,728.0,4.218546832503941,3.286521066910711,5.799,4.141,3.742,6.511,4.612,3.634,2.414,6.175,2.145,1.209,1.763
18,731.0,4.183756010091789,1.2063959068751826,2.393,2.938,4.053,5.681,2.59,6.394,2.692,0.0,2.627,0.0,1.9
19,732.0,4.166252624258075,3.077783471937476,1.332,0.0,2.81,4.992,4.451,2.147,6.286,2.731,2.137,2.238,4.162
20,734.0,4.129379642199092,2.0865656775468464,2.307,5.733,2.066,1.791,3.386,3.62,2.695,2.919,2.909,5.492,2.117
21,736.0,4.090517576788267,4.906202069948181,1.923,1.692,1.91,4.663,1.844,1.928,5.101,1.736,2.119,4.217,4.368
22,739.0,4.051387253346471,5.435828301750603,2.641,2.878,1.947,1.252,1.957,5.436,1.506,1.494,3.753,2.919,0.0
23,740.0,4.031717654255528,5.1213239931033,4.142,1.776,3.712,2.699,1.596,2.146,4.971,1.914,1.848,3.666,2.536
24,742.0,3.9921703326700086,2.3857040930448545,4.81,6.121,3.277,1.538,1.868,9.686,0.937,1.879,2.379,3.42,1.489
25,744.0,3.9703123977296446,1.410708208798316,3.139,4.515,5.085,3.347,1.516,1.585,10.975,1.12,2.193,2.946,1.941
26,746.0,3.926362164091506,2.73691067063666,3.103,3.374,9.313,3.663,5.008,6.595,1.873,1.192,13.653,2.345,1.738
27,748.0,3.904236747925157,1.5695442325500777,2.153,3.152,3.73,3.79,4.465,3.358,7.638,2.668,1.078,7.564,2.15
28,751.0,3.859786935916354,3.926198684769232,3.07,3.148,1.784,4.023,2.537,3.96,2.709,3.873,8.227,2.897,1.856
29,752.0,3.837429450196412,2.5655382231911483,2.692,4.637,3.996,1.296,3.02,4.146,2.871,2.956,2.405,4.019,3.169
30,755.0,3.79021115421336,4.303282164432459,6.045,2.701,1.915,2.337,4.889,5.037,2.889,5.45,6.525,4.821,5.334
31,756.0,3.765320039697933,4.455662967841797,2.686,5.204,4.492,2.164,1.618,2.491,2.372,5.456,5.424,4.034,3.354
32,758.0,3.740344240283843,3.282914605146121,3.568,3.074,3.182,5.144,2.043,1.274,1.958,2.039,3.793,5.34,3.848
33,761.0,3.6900396490094094,3.3094607894156063,1.46,5.181,4.153,3.258,2.631,1.758,4.478,2.232,1.397,2.123,2.875
34,763.0,3.664744843454031,2.416421770096417,2.145,1.434,5.566,3.668,4.615,2.47,1.265,2.318,5.63,1.319,1.599
35,764.0,3.639333229466553,1.6288767861874185,1.863,3.445,1.555,3.85,2.478,3.317,3.909,1.396,1.661,8.462,2.721
