,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,692.0,4.806664730570148,2.393613058533751,5.087,0.0,1.466,1.232,0.749,2.022,1.416,1.169,0.0,2.364,1.193
1,694.0,4.778461168590125,0.0,0.95,3.387,0.0,1.912,0.0,0.597,1.236,1.479,1.8,1.041,1.2
2,698.0,4.720187077902779,0.973883001436116,0.713,0.0,3.082,0.0,0.0,2.372,3.907,0.0,3.673,0.0,0.0
3,700.0,4.689300957922461,2.4578634243020883,1.938,1.649,1.105,3.281,1.133,0.985,0.0,3.745,4.061,3.931,3.615
4,702.0,4.644673480769162,2.4371947452943368,2.793,1.386,2.38,1.415,1.035,1.996,0.0,0.912,0.951,3.991,3.499
5,704.0,4.622237616993765,2.6202377767377545,1.05,2.879,1.39,2.053,1.278,0.956,1.099,3.356,1.658,0.0,2.387
6,706.0,4.577088592204344,1.287440930402248,7.425,1.838,0.914,2.738,1.118,1.505,1.362,0.997,0.668,1.113,3.363
7,708.0,4.552132323035337,0.0,1.315,0.0,0.0,0.0,1.603,1.186,1.652,2.748,1.331,0.789,0.683
8,711.0,4.501814915026364,1.0260208371549495,1.37,1.277,0.0,2.505,5.573,3.327,2.19,1.88,1.674,1.173,3.683
9,712.0,4.48942163564651,1.5710199203630384,1.154,0.0,3.209,3.732,3.683,5.92,1.87,0.0,2.584,1.349,1.314
10,714.0,4.451988877090198,1.078638344954392,1.976,1.674,1.517,1.317,0.878,0.0,2.905,0.0,4.219,0.0,2.318
11,716.0,4.425636673797188,2.8417643786352973,1.83,1.633,2.908,1.958,1.81,0.0,3.51,3.578,3.311,0.0,1.181
12,718.0,4.384017668022734,3.3309078535010785,1.434,2.984,2.468,0.0,1.987,2.819,2.344,1.774,0.0,3.403,3.407
13,720.0,4.356077168016794,2.3857320846476355,2.924,0.0,0.0,3.28,1.771,1.706,2.132,5.2,1.954,1.941,3.379
14,722.0,4.328017673411098,2.666387318193019,3.261,0.0,1.822,1.899,0.0,2.574,1.642,0.0,4.654,1.786,0.0
15,724.0,4.282832647088027,4.026641455774597,3.851,2.842,4.646,4.306,1.889,0.749,0.0,4.603,1.972,0.0,0.0
16,726.0,4.251573740401522,0.0,6.105,4.586,1.856,0.0,2.458,2.658,1.913,1.214,2.025,3.84,2.087
17,728.0,4.218546832503941,4.050808635001284,2.912,2.959,2.934,8.544,0.0,4.404,3.386,4.396,0.0,1.335,1.728
18,731.0,4.183756010091789,1.384290349694091,0.0,4.235,0.0,1.531,4.762,4.944,1.822,9.243,2.716,4.086,0.0
19,732.0,4.166252624258075,1.727638027494148,1.338,0.0,3.187,2.015,1.416,3.327,2.168,1.613,2.37,3.343,3.946
20,734.0,4.129379642199092,1.7187129450869616,4.431,2.501,1.406,1.921,0.0,1.68,0.0,4.427,3.362,1.807,2.566
21,736.0,4.090517576788267,1.47728037597615,3.759,0.0,1.501,4.901,1.529,1.768,2.622,1.531,3.802,6.122,4.834
22,739.0,4.051387253346471,3.4622520737934948,2.073,0.0,4.651,2.026,3.399,4.735,1.207,2.204,3.358,1.448,3.006
23,740.0,4.031717654255528,3.890598410075751,3.584,0.859,0.0,0.0,2.767,3.905,1.754,1.483,2.695,2.805,1.878
24,742.0,3.9921703326700086,9.510832805624409,4.125,0.0,3.291,0.968,0.87,5.823,2.006,5.692,2.631,2.867,4.199
25,744.0,3.9703123977296446,4.372442713761434,8.906,4.498,5.155,4.69,1.389,1.519,6.45,2.386,5.241,4.002,4.475
26,746.0,3.926362164091506,4.831733030479819,4.048,6.837,7.989,3.028,1.698,4.638,2.144,2.395,10.234,3.314,3.62
27,748.0,3.904236747925157,3.62599130707471,5.29,5.245,5.496,5.139,2.795,1.762,2.924,2.567,2.715,3.574,4.792
28,751.0,3.859786935916354,0.0,6.941,5.184,3.585,5.91,5.116,3.452,2.588,2.21,3.928,3.731,3.14
29,752.0,3.837429450196412,0.0,1.06,2.269,7.936,2.541,4.98,6.435,4.308,1.858,2.523,3.912,4.264
30,755.0,3.79021115421336,2.8107919143382394,2.823,2.988,1.727,2.801,4.043,4.753,3.611,7.494,6.061,1.914,0.0
31,756.0,3.765320039697933,2.104746015945288,3.39,3.756,4.523,2.324,2.546,2.168,4.941,3.959,3.564,9.09,1.847
32,758.0,3.740344240283843,3.0842084203618434,2.227,6.323,4.039,2.987,0.0,1.738,0.0,3.793,3.484,2.005,7.301
33,761.0,3.6900396490094094,3.057977051881897,5.253,6.998,1.936,1.751,5.574,2.082,0.0,8.388,2.174,1.464,6.38
34,763.0,3.664744843454031,4.099154219383617,1.975,3.843,7.475,2.661,1.539,5.182,1.835,1.564,0.0,2.035,1.805
35,764.0,3.639333229466553,2.92336863276235,3.972,3.072,3.254,4.67,4.358,2.005,5.207,3.375,2.521,2.42,3.974
