,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,690.0,4.848722875976096,0.5056893821896895,0.345,0.401,0.0,0.0,0.0,0.309,0.278,0.403,0.0,0.36,0.462
1,692.0,4.806664730570148,0.356770603765829,0.286,0.342,0.0,0.403,0.0,0.184,0.0,0.0,0.0,0.408,0.349
2,694.0,4.778461168590125,0.0,0.401,0.0,0.39,0.326,0.196,0.193,0.0,0.0,0.392,0.345,0.337
3,698.0,4.720187077902779,0.0,0.228,0.258,0.0,0.23,0.219,0.288,0.0,0.445,0.407,0.45,0.29
4,700.0,4.689300957922461,0.3680736180026031,0.383,0.258,0.0,0.0,0.0,0.317,0.225,0.195,0.0,0.285,0.248
5,702.0,4.644673480769162,0.3458314953922907,0.317,0.0,0.313,0.0,0.0,0.341,0.32,0.0,0.384,0.323,0.361
6,704.0,4.622237616993765,0.3738408983335418,0.336,0.0,0.388,0.0,0.0,0.303,0.336,0.334,0.357,0.356,0.35
7,706.0,4.577088592204344,0.364681457080037,0.389,0.0,0.326,0.254,0.351,0.334,0.0,0.399,0.386,0.336,0.476
8,708.0,4.552132323035337,0.3769815349305285,0.0,0.0,0.382,0.0,0.0,0.316,0.243,0.0,0.526,0.0,0.0
9,711.0,4.501814915026364,0.3297349786666681,0.0,0.319,0.326,0.37,0.0,0.365,0.342,0.424,0.475,0.0,0.0
10,712.0,4.48942163564651,0.2740362146625303,0.0,0.318,0.33,0.0,0.312,0.36,0.331,0.448,0.472,0.0,0.0
11,714.0,4.451988877090198,0.3591865387919429,0.443,0.0,0.385,0.298,0.344,0.258,0.309,0.422,0.0,0.0,0.0
12,716.0,4.425636673797188,0.4395558579326074,0.422,0.386,0.42,0.324,0.272,0.276,0.322,0.0,0.0,0.0,0.419
13,718.0,4.384017668022734,0.4549139803142765,0.425,0.319,0.356,0.262,0.233,0.43,0.405,0.0,0.284,0.394,0.483
14,720.0,4.356077168016794,0.5179504548161556,0.0,0.0,0.0,0.267,0.331,0.352,0.35,0.416,0.397,0.438,0.461
15,722.0,4.328017673411098,0.472714195645387,0.0,0.0,0.0,0.307,0.341,0.299,0.42,0.431,0.339,0.305,0.512
16,724.0,4.282832647088027,0.4810495049238656,0.0,0.351,0.378,0.362,0.382,0.326,0.32,0.0,0.28,0.276,0.599
17,726.0,4.251573740401522,0.3781898216354288,0.284,0.549,0.426,0.455,0.336,0.392,0.266,0.313,0.351,0.463,0.547
18,728.0,4.218546832503941,0.0,0.395,0.581,0.511,0.494,0.403,0.428,0.365,0.411,0.0,0.568,0.0
19,731.0,4.183756010091789,0.4363644812522051,0.526,0.696,0.617,0.357,0.408,0.471,0.368,0.0,0.503,0.422,0.293
20,732.0,4.166252624258075,0.4480500497425996,0.63,0.661,0.494,0.401,0.462,0.438,0.333,0.0,0.405,0.318,0.385
21,734.0,4.129379642199092,0.4134180936803627,0.48,0.601,0.586,0.458,0.431,0.408,0.264,0.0,0.374,0.424,0.377
22,736.0,4.090517576788267,0.0,0.0,0.577,0.381,0.428,0.394,0.34,0.399,0.27,0.432,0.0,0.389
23,739.0,4.051387253346471,0.4026901111899836,0.494,0.531,0.497,0.361,0.37,0.453,0.292,0.0,0.272,0.383,0.0
24,740.0,4.031717654255528,0.4129128536888782,0.0,0.542,0.442,0.302,0.57,0.447,0.255,0.268,0.404,0.374,0.293
25,742.0,3.9921703326700086,0.3959006683442858,0.0,0.0,0.377,0.447,0.474,0.43,0.396,0.421,0.461,0.332,0.307
26,744.0,3.9703123977296446,0.3969404926117919,0.0,0.0,0.454,0.461,0.511,0.562,0.307,0.514,0.425,0.347,0.371
27,746.0,3.926362164091506,0.0,0.453,0.404,0.429,0.37,0.579,0.331,0.363,0.326,0.498,0.42,0.407
28,748.0,3.904236747925157,0.4335862893540583,0.399,0.402,0.413,0.435,0.392,0.39,0.0,0.47,0.462,0.403,0.363
29,751.0,3.859786935916354,0.5060777604261039,0.343,0.345,0.339,0.395,0.496,0.336,0.371,0.551,0.415,0.385,0.404
30,752.0,3.837429450196412,0.4180474714590978,0.361,0.362,0.398,0.481,0.493,0.506,0.499,0.489,0.421,0.401,0.424
31,755.0,3.79021115421336,0.3204125427637823,0.337,0.264,0.429,0.514,0.628,0.523,0.386,0.0,0.372,0.377,0.427
32,756.0,3.765320039697933,0.4801347477782563,0.429,0.344,0.508,0.461,0.514,0.512,0.465,0.439,0.554,0.422,0.337
33,758.0,3.740344240283843,0.5598775850380683,0.397,0.347,0.439,0.528,0.464,0.418,0.386,0.56,0.539,0.389,0.492
34,761.0,3.6900396490094094,0.3838912338877183,0.312,0.373,0.487,0.249,0.287,0.247,0.499,0.492,0.0,0.476,0.49
35,763.0,3.664744843454031,0.4753922379403982,0.33,0.48,0.334,0.0,0.0,0.319,0.52,0.483,0.366,0.273,0.417
36,764.0,3.639333229466553,0.45507411818576593,0.434,0.378,0.0,0.0,0.0,0.339,0.545,0.532,0.0,0.403,0.494
