,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.2404589585739272,0.259,0.0,0.161,0.363,0.336,0.341,0.0,0.189,0.0,0.369,0.37
1,604.0,6.257021370782395,0.399720010196436,0.329,0.0,0.225,0.203,0.0,0.246,0.182,0.242,0.145,0.245,0.378
2,608.0,6.198067183682969,0.283747063345359,0.283,0.235,0.218,0.214,0.205,0.194,0.0,0.0,0.0,0.0,0.228
3,610.0,6.166826674452984,0.3059572922091609,0.309,0.181,0.0,0.2,0.289,0.243,0.0,0.0,0.0,0.0,0.0
4,612.0,6.133891202463207,0.0,0.272,0.205,0.277,0.0,0.161,0.25,0.232,0.185,0.189,0.153,0.0
5,614.0,6.100719280344512,0.1947405218485451,0.0,0.217,0.299,0.269,0.0,0.189,0.302,0.233,0.0,0.2,0.18
6,616.0,6.067346103953526,0.1759647887864569,0.198,0.243,0.0,0.279,0.217,0.249,0.219,0.309,0.0,0.258,0.204
7,618.0,6.032072868913223,0.2798783092936852,0.0,0.154,0.325,0.0,0.0,0.2,0.222,0.237,0.227,0.215,0.0
8,620.0,5.99483202664493,0.0,0.0,0.0,0.216,0.331,0.245,0.223,0.0,0.245,0.0,0.0,0.0
9,622.0,5.957324003606695,0.2191191344377458,0.0,0.0,0.0,0.233,0.185,0.2,0.212,0.225,0.0,0.0,0.0
10,624.0,5.936563990996856,0.0,0.299,0.27,0.0,0.0,0.0,0.154,0.153,0.268,0.0,0.0,0.0
11,626.0,5.894811696137232,0.2163520614309831,0.243,0.296,0.278,0.153,0.0,0.321,0.243,0.176,0.238,0.0,0.0
12,629.0,5.85272746861963,0.2442704226465183,0.253,0.326,0.295,0.0,0.0,0.274,0.288,0.292,0.216,0.213,0.237
13,630.0,5.829423163299706,0.2302850691548545,0.333,0.32,0.37,0.0,0.238,0.214,0.325,0.349,0.296,0.288,0.0
14,632.0,5.806019824366869,0.2888495644921722,0.254,0.25,0.345,0.305,0.276,0.352,0.0,0.0,0.286,0.281,0.327
15,634.0,5.758847580686565,0.1959705054130938,0.204,0.218,0.316,0.303,0.0,0.278,0.312,0.471,0.354,0.256,0.292
16,636.0,5.735113676933862,0.2292590564112387,0.0,0.18,0.325,0.397,0.0,0.0,0.193,0.338,0.332,0.292,0.271
17,639.0,5.687351268637958,0.3218934419989172,0.364,0.0,0.0,0.296,0.24,0.0,0.0,0.0,0.291,0.255,0.0
18,640.0,5.674282004200254,0.0,0.366,0.246,0.0,0.261,0.204,0.0,0.0,0.0,0.277,0.229,0.304
19,642.0,5.63487750476342,0.2808741956920134,0.3,0.272,0.423,0.236,0.292,0.0,0.0,0.0,0.178,0.21,0.0
20,644.0,5.607096887071627,0.2630402470265675,0.389,0.314,0.0,0.259,0.448,0.244,0.0,0.0,0.0,0.263,0.259
