,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.2349271922922321,0.251,0.191,0.18,0.311,0.187,0.248,0.0,0.0,0.0,0.374,0.397
1,604.0,6.257021370782395,0.3023126006159369,0.268,0.196,0.211,0.0,0.0,0.208,0.159,0.0,0.0,0.298,0.441
2,608.0,6.198067183682969,0.4101380459663429,0.386,0.204,0.0,0.18,0.188,0.153,0.0,0.16,0.175,0.158,0.256
3,610.0,6.166826674452984,0.3738495716001273,0.317,0.352,0.196,0.141,0.211,0.0,0.179,0.189,0.166,0.0,0.195
4,612.0,6.133891202463207,0.0,0.258,0.254,0.387,0.225,0.131,0.185,0.0,0.0,0.184,0.0,0.221
5,614.0,6.100719280344512,0.0,0.181,0.289,0.178,0.272,0.253,0.138,0.177,0.0,0.202,0.0,0.205
6,616.0,6.067346103953526,0.0,0.212,0.299,0.223,0.0,0.0,0.0,0.0,0.224,0.149,0.0,0.229
7,618.0,6.032072868913223,0.1854047131281989,0.0,0.239,0.343,0.0,0.184,0.196,0.286,0.166,0.176,0.173,0.0
8,620.0,5.99483202664493,0.0,0.14,0.189,0.28,0.294,0.233,0.176,0.218,0.178,0.0,0.0,0.218
9,622.0,5.957324003606695,0.1579703798977995,0.192,0.2,0.139,0.225,0.242,0.203,0.255,0.247,0.135,0.163,0.0
10,624.0,5.936563990996856,0.0,0.178,0.17,0.153,0.125,0.254,0.188,0.19,0.323,0.198,0.18,0.184
11,626.0,5.894811696137232,0.1715088963760526,0.161,0.237,0.182,0.125,0.175,0.33,0.241,0.143,0.29,0.203,0.0
12,629.0,5.85272746861963,0.2371552507788207,0.187,0.169,0.177,0.0,0.166,0.0,0.265,0.205,0.147,0.154,0.17
13,630.0,5.829423163299706,0.1787593208410435,0.262,0.209,0.0,0.215,0.214,0.175,0.0,0.244,0.213,0.216,0.177
14,632.0,5.806019824366869,0.0,0.17,0.23,0.176,0.0,0.207,0.0,0.0,0.0,0.0,0.215,0.193
15,634.0,5.758847580686565,0.0,0.0,0.165,0.281,0.0,0.0,0.0,0.195,0.401,0.296,0.135,0.119
16,636.0,5.735113676933862,0.1693303547809765,0.0,0.0,0.203,0.24,0.18,0.0,0.0,0.226,0.2,0.221,0.0
17,639.0,5.687351268637958,0.2678858400083143,0.164,0.162,0.191,0.201,0.0,0.118,0.197,0.16,0.0,0.177,0.161
18,640.0,5.674282004200254,0.1902667755820244,0.171,0.197,0.226,0.215,0.0,0.111,0.161,0.213,0.192,0.0,0.182
