,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.221,0.18100000000000002,0.254,0.20800000000000002,0.252,0.0,0.0,0.0,0.0,0.439,0.28800000000000003,0.174
1,604.0,6.257021370782392,0.209,0.13699999999999998,0.113,0.154,0.0,0.0,0.0,0.373,0.0,0.258,0.272,0.16899999999999998
2,608.0,6.198067183682968,0.147,0.0,0.2,0.203,0.0,0.332,0.322,0.34299999999999997,0.0,0.0,0.26,0.21
3,610.0,6.166826674452982,0.175,0.177,0.0,0.228,0.306,0.329,0.345,0.244,0.0,0.22,0.212,0.202
4,612.0,6.133891202463207,0.0,0.188,0.0,0.233,0.0,0.391,0.297,0.15,0.193,0.0,0.0,0.182
5,614.0,6.100719280344513,0.185,0.0,0.266,0.212,0.28300000000000003,0.342,0.187,0.14400000000000002,0.0,0.196,0.0,0.211
6,616.0,6.067346103953526,0.185,0.31,0.20600000000000002,0.21600000000000005,0.266,0.0,0.0,0.233,0.15,0.0,0.23600000000000002,0.18899999999999997
7,618.0,6.032072868913223,0.297,0.16699999999999998,0.177,0.301,0.256,0.0,0.223,0.163,0.189,0.0,0.18,0.23
8,620.0,5.9948320266449295,0.204,0.244,0.18899999999999997,0.17300000000000001,0.0,0.207,0.0,0.177,0.145,0.20600000000000002,0.26,0.27399999999999997
9,622.0,5.957324003606695,0.29100000000000004,0.179,0.185,0.152,0.147,0.0,0.194,0.156,0.187,0.243,0.212,0.204
10,624.0,5.9365639909968575,0.256,0.161,0.168,0.0,0.205,0.17600000000000002,0.14300000000000002,0.0,0.23600000000000002,0.17800000000000002,0.185,0.302
11,626.0,5.894811696137233,0.0,0.202,0.177,0.235,0.161,0.0,0.23,0.33,0.231,0.188,0.28300000000000003,0.205
12,629.0,5.85272746861963,0.19699999999999998,0.179,0.142,0.0,0.0,0.365,0.258,0.24600000000000002,0.17300000000000001,0.156,0.256,0.275
13,630.0,5.829423163299706,0.0,0.19,0.19,0.183,0.362,0.272,0.303,0.231,0.192,0.177,0.249,0.284
14,632.0,5.806019824366869,0.0,0.221,0.273,0.369,0.0,0.174,0.271,0.231,0.0,0.13699999999999998,0.254,0.214
15,634.0,5.758847580686567,0.157,0.28300000000000003,0.373,0.209,0.0,0.158,0.14800000000000002,0.135,0.233,0.22,0.16,0.0
16,636.0,5.735113676933862,0.23,0.19699999999999998,0.23800000000000002,0.0,0.185,0.166,0.0,0.188,0.23199999999999998,0.18,0.0,0.0
17,639.0,5.687351268637958,0.213,0.227,0.221,0.0,0.147,0.243,0.194,0.112,0.175,0.181,0.171,0.0
18,640.0,5.674282004200253,0.19699999999999998,0.215,0.0,0.203,0.22699999999999998,0.215,0.0,0.0,0.16899999999999998,0.18,0.183,0.0
19,642.0,5.63487750476342,0.226,0.182,0.0,0.0,0.0,0.0,0.149,0.108,0.193,0.209,0.222,0.229
20,644.0,5.607096887071627,0.261,0.0,0.24600000000000002,0.20199999999999999,0.184,0.0,0.11699999999999999,0.133,0.0,0.251,0.251,0.231
21,646.0,5.563197273837341,0.162,0.187,0.0,0.129,0.129,0.188,0.23,0.17600000000000002,0.14,0.244,0.0,0.223
22,648.0,5.532228479342441,0.195,0.0,0.0,0.13699999999999998,0.20600000000000002,0.301,0.185,0.0,0.198,0.0,0.258,0.217
23,650.0,5.499580009312712,0.0,0.171,0.0,0.215,0.214,0.212,0.0,0.162,0.124,0.18,0.243,0.19
24,652.0,5.4667717357004335,0.14,0.0,0.139,0.17,0.184,0.0,0.0,0.161,0.223,0.16,0.22699999999999998,0.0
25,654.0,5.4320458104529035,0.146,0.0,0.174,0.237,0.0,0.0,0.171,0.0,0.171,0.135,0.16399999999999998,0.0
26,656.0,5.395473989249358,0.0,0.177,0.226,0.19,0.207,0.0,0.17600000000000002,0.149,0.0,0.187,0.17600000000000002,0.19899999999999998
27,658.0,5.377073878453867,0.142,0.211,0.222,0.223,0.0,0.0,0.17600000000000002,0.14800000000000002,0.0,0.14,0.18600000000000005,0.149
28,660.0,5.338220697323426,0.277,0.268,0.0,0.209,0.225,0.229,0.22,0.0,0.141,0.187,0.146,0.14400000000000002
29,660.0,5.338220697323426,0.27699999999999997,0.268,0.0,0.209,0.225,0.22899999999999998,0.22,0.0,0.141,0.187,0.146,0.14400000000000002
30,662.0,5.297253698952362,0.17800000000000002,0.179,0.0,0.0,0.262,0.17300000000000001,0.0,0.105,0.192,0.153,0.192,0.32
31,664.0,5.276641111204341,0.0,0.0,0.161,0.0,0.166,0.0,0.139,0.174,0.0,0.18600000000000005,0.231,0.2
32,666.0,5.235158502612744,0.203,0.0,0.168,0.0,0.0,0.18600000000000005,0.122,0.0,0.175,0.151,0.0,0.0
33,668.0,5.214323161439596,0.0,0.13,0.156,0.0,0.227,0.14300000000000002,0.14400000000000002,0.109,0.195,0.0,0.0,0.161
34,670.0,5.170266337889607,0.161,0.16,0.0,0.139,0.146,0.135,0.18600000000000005,0.195,0.166,0.16,0.15,0.138
35,672.0,5.147046563163453,0.0,0.0,0.118,0.126,0.18,0.235,0.18600000000000005,0.18,0.161,0.161,0.151,0.158
36,674.0,5.100322315894825,0.139,0.094,0.171,0.32799999999999996,0.268,0.0,0.0,0.154,0.132,0.179,0.153,0.23199999999999998
37,676.0,5.076783952863184,0.166,0.0,0.268,0.311,0.208,0.0,0.0,0.135,0.168,0.162,0.2,0.202
38,679.0,5.024693916499314,0.215,0.29,0.187,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
39,681.0,4.9984422681030605,0.257,0.14800000000000002,0.168,0.0,0.0,0.0,0.0,0.179,0.14800000000000002,0.14400000000000002,0.197,0.141
