,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.255134573050965,0.266,0.196,0.19,0.291,0.181,0.243,0.0,0.0,0.0,0.32,0.388
1,604.0,6.257021370782395,0.3038553929722348,0.262,0.218,0.203,0.0,0.0,0.182,0.163,0.0,0.0,0.255,0.38
2,608.0,6.198067183682969,0.3884594989183407,0.364,0.206,0.0,0.17,0.186,0.153,0.0,0.169,0.191,0.16,0.244
3,610.0,6.166826674452984,0.3518407175161976,0.322,0.335,0.177,0.148,0.212,0.0,0.197,0.216,0.161,0.0,0.206
4,612.0,6.133891202463207,0.0,0.264,0.247,0.332,0.209,0.131,0.166,0.0,0.0,0.186,0.0,0.212
5,614.0,6.100719280344512,0.0,0.158,0.305,0.186,0.262,0.22,0.132,0.169,0.0,0.183,0.0,0.203
6,616.0,6.067346103953526,0.0,0.197,0.318,0.253,0.0,0.0,0.0,0.0,0.226,0.159,0.0,0.205
7,618.0,6.032072868913223,0.1762143233606846,0.0,0.221,0.338,0.0,0.2,0.191,0.268,0.172,0.17,0.185,0.0
8,620.0,5.99483202664493,0.0,0.165,0.176,0.255,0.272,0.235,0.172,0.214,0.176,0.0,0.0,0.211
9,622.0,5.957324003606695,0.1516991859317169,0.188,0.205,0.148,0.197,0.239,0.209,0.254,0.228,0.146,0.171,0.0
10,624.0,5.936563990996856,0.0,0.175,0.17,0.158,0.123,0.242,0.198,0.192,0.303,0.217,0.182,0.186
11,626.0,5.894811696137232,0.1670962210558377,0.154,0.217,0.163,0.114,0.152,0.317,0.233,0.153,0.27,0.199,0.0
12,629.0,5.85272746861963,0.2369734555769725,0.19,0.18,0.173,0.0,0.158,0.0,0.257,0.173,0.147,0.165,0.171
13,630.0,5.829423163299706,0.1876625588620302,0.272,0.211,0.0,0.207,0.195,0.18,0.0,0.227,0.189,0.202,0.171
14,632.0,5.806019824366869,0.0,0.183,0.238,0.175,0.0,0.193,0.0,0.0,0.0,0.0,0.193,0.182
15,634.0,5.758847580686565,0.0,0.0,0.177,0.284,0.0,0.0,0.0,0.187,0.355,0.263,0.143,0.124
16,636.0,5.735113676933862,0.1681773445456656,0.0,0.0,0.217,0.241,0.193,0.0,0.0,0.207,0.206,0.214,0.0
17,639.0,5.687351268637958,0.278939787881387,0.155,0.16,0.207,0.187,0.0,0.134,0.187,0.158,0.0,0.179,0.183
18,640.0,5.674282004200254,0.2216754878900783,0.18,0.185,0.231,0.218,0.0,0.116,0.158,0.21,0.181,0.0,0.187
19,642.0,5.63487750476342,0.2231630534223807,0.191,0.17,0.0,0.0,0.166,0.151,0.16,0.122,0.121,0.162,0.18
20,644.0,5.607096887071627,0.2174491508378335,0.223,0.202,0.248,0.0,0.241,0.0,0.195,0.169,0.129,0.151,0.143
21,646.0,5.563197273837341,0.1899187500594378,0.134,0.25,0.171,0.202,0.161,0.165,0.0,0.0,0.0,0.18,0.229
22,648.0,5.532228479342441,0.2368466237375719,0.159,0.0,0.154,0.176,0.212,0.182,0.155,0.0,0.128,0.12,0.23
23,650.0,5.499580009312712,0.2304232174237699,0.192,0.192,0.143,0.148,0.133,0.183,0.216,0.185,0.14,0.145,0.0
24,652.0,5.466771735700435,0.1483865510525199,0.0,0.19,0.202,0.0,0.0,0.194,0.187,0.132,0.162,0.16,0.187
25,654.0,5.432045810452905,0.1813864841363733,0.191,0.109,0.193,0.229,0.0,0.0,0.167,0.0,0.129,0.13,0.15
26,656.0,5.395473989249359,0.1583851364016965,0.197,0.149,0.0,0.197,0.201,0.178,0.163,0.175,0.179,0.135,0.0
27,658.0,5.377073878453867,0.1284936268834372,0.0,0.192,0.0,0.151,0.204,0.0,0.205,0.15,0.181,0.175,0.0
