,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.223,0.18,0.259,0.2,0.239,0.0,0.0,0.0,0.0,0.392,0.29,0.18
1,604.0,6.257021370782392,0.208,0.14300000000000002,0.115,0.14800000000000002,0.0,0.0,0.0,0.336,0.0,0.257,0.276,0.171
2,608.0,6.1980671836829675,0.139,0.0,0.192,0.20199999999999999,0.0,0.315,0.29600000000000004,0.32799999999999996,0.0,0.0,0.255,0.209
3,610.0,6.166826674452982,0.189,0.175,0.0,0.231,0.28600000000000003,0.33,0.331,0.226,0.0,0.215,0.211,0.206
4,612.0,6.133891202463207,0.0,0.183,0.0,0.228,0.0,0.35700000000000004,0.268,0.149,0.175,0.0,0.0,0.172
5,614.0,6.100719280344513,0.168,0.0,0.263,0.228,0.277,0.301,0.177,0.14,0.0,0.19,0.0,0.196
6,616.0,6.067346103953526,0.172,0.326,0.233,0.21600000000000005,0.247,0.0,0.0,0.231,0.159,0.0,0.218,0.19
7,618.0,6.032072868913223,0.298,0.182,0.187,0.29,0.248,0.0,0.205,0.17600000000000002,0.199,0.0,0.177,0.215
8,620.0,5.9948320266449295,0.215,0.225,0.182,0.16699999999999998,0.0,0.212,0.0,0.19699999999999998,0.149,0.192,0.239,0.262
9,622.0,5.957324003606695,0.28600000000000003,0.177,0.187,0.138,0.146,0.0,0.194,0.16,0.166,0.236,0.217,0.194
10,624.0,5.9365639909968575,0.251,0.16899999999999998,0.175,0.0,0.19399999999999998,0.17600000000000002,0.155,0.0,0.21899999999999997,0.184,0.19,0.284
11,626.0,5.894811696137233,0.0,0.192,0.168,0.219,0.16,0.0,0.212,0.319,0.229,0.19,0.269,0.206
12,629.0,5.85272746861963,0.19,0.165,0.125,0.0,0.0,0.349,0.253,0.215,0.18,0.16399999999999998,0.259,0.27699999999999997
13,630.0,5.829423163299706,0.0,0.193,0.16699999999999998,0.17800000000000002,0.35700000000000004,0.26,0.271,0.217,0.19,0.18600000000000005,0.258,0.285
14,632.0,5.806019824366869,0.0,0.21,0.257,0.36,0.0,0.165,0.251,0.21899999999999997,0.0,0.14800000000000002,0.262,0.209
15,634.0,5.758847580686567,0.152,0.26,0.333,0.2,0.0,0.156,0.14800000000000002,0.15,0.232,0.222,0.166,0.0
16,636.0,5.735113676933862,0.209,0.20199999999999999,0.23,0.0,0.184,0.168,0.0,0.2,0.237,0.183,0.0,0.0
17,639.0,5.687351268637958,0.222,0.242,0.219,0.0,0.151,0.236,0.18600000000000005,0.114,0.184,0.17800000000000002,0.163,0.0
18,640.0,5.674282004200253,0.20199999999999999,0.23399999999999999,0.0,0.196,0.226,0.221,0.0,0.0,0.171,0.175,0.174,0.0
19,642.0,5.63487750476342,0.231,0.185,0.0,0.0,0.0,0.0,0.156,0.1,0.189,0.207,0.224,0.238
20,644.0,5.607096887071627,0.272,0.0,0.23399999999999999,0.193,0.20800000000000002,0.0,0.113,0.14300000000000002,0.0,0.239,0.254,0.237
21,646.0,5.563197273837341,0.162,0.165,0.0,0.14400000000000002,0.13699999999999998,0.185,0.238,0.165,0.138,0.234,0.0,0.222
22,648.0,5.532228479342441,0.185,0.0,0.0,0.141,0.2,0.284,0.17600000000000002,0.0,0.195,0.0,0.261,0.212
23,650.0,5.499580009312712,0.0,0.171,0.0,0.193,0.205,0.201,0.0,0.152,0.136,0.175,0.232,0.19
24,652.0,5.4667717357004335,0.15,0.0,0.124,0.177,0.187,0.0,0.0,0.149,0.204,0.151,0.223,0.0
25,654.0,5.432045810452904,0.16899999999999998,0.0,0.18600000000000005,0.246,0.0,0.0,0.152,0.0,0.174,0.129,0.161,0.0
26,656.0,5.395473989249358,0.0,0.16699999999999998,0.239,0.18,0.18899999999999997,0.0,0.166,0.151,0.0,0.174,0.182,0.21
27,658.0,5.377073878453867,0.141,0.204,0.208,0.212,0.0,0.0,0.17600000000000002,0.139,0.0,0.13699999999999998,0.197,0.154
28,660.0,5.338220697323426,0.256,0.241,0.0,0.19,0.225,0.228,0.206,0.0,0.142,0.191,0.136,0.136
29,660.0,5.338220697323426,0.256,0.24100000000000002,0.0,0.19,0.225,0.228,0.20600000000000002,0.0,0.142,0.191,0.136,0.136
30,662.0,5.297253698952362,0.17600000000000002,0.166,0.0,0.0,0.256,0.17800000000000002,0.0,0.124,0.18100000000000002,0.156,0.18899999999999997,0.3
31,664.0,5.276641111204341,0.0,0.0,0.16,0.0,0.17,0.0,0.152,0.173,0.0,0.195,0.223,0.194
32,666.0,5.235158502612744,0.195,0.0,0.162,0.0,0.0,0.18600000000000005,0.126,0.0,0.17800000000000002,0.145,0.0,0.0
33,668.0,5.214323161439596,0.0,0.126,0.153,0.0,0.223,0.138,0.139,0.11,0.192,0.0,0.0,0.154
34,670.0,5.170266337889607,0.161,0.159,0.0,0.149,0.142,0.133,0.175,0.20199999999999999,0.163,0.154,0.149,0.132
35,672.0,5.147046563163453,0.0,0.0,0.142,0.135,0.16699999999999998,0.214,0.18600000000000005,0.187,0.163,0.159,0.156,0.159
36,674.0,5.100322315894825,0.147,0.10300000000000001,0.158,0.312,0.256,0.0,0.0,0.158,0.136,0.18,0.152,0.231
37,676.0,5.076783952863184,0.174,0.0,0.246,0.287,0.204,0.0,0.0,0.15,0.173,0.174,0.205,0.208
38,679.0,5.024693916499314,0.21600000000000005,0.27899999999999997,0.174,0.17600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
39,681.0,4.9984422681030605,0.247,0.138,0.156,0.0,0.0,0.0,0.0,0.182,0.139,0.14,0.196,0.152
40,682.0,4.972098961617661,0.136,0.134,0.0,0.156,0.126,0.0,0.16399999999999998,0.196,0.0,0.145,0.128,0.205
41,684.0,4.945595796763422,0.13699999999999998,0.0,0.13699999999999998,0.129,0.0,0.158,0.188,0.147,0.0,0.0,0.163,0.13
42,687.0,4.892248159980066,0.114,0.109,0.129,0.156,0.18,0.139,0.17800000000000002,0.22,0.155,0.149,0.14800000000000002,0.131
43,689.0,4.862669314823597,0.114,0.157,0.183,0.151,0.0,0.16399999999999998,0.293,0.207,0.17,0.165,0.129,0.145
44,690.0,4.8487228759760965,0.0,0.158,0.15,0.125,0.0,0.249,0.258,0.172,0.198,0.127,0.0,0.14400000000000002
45,692.0,4.806664730570148,0.0,0.146,0.0,0.204,0.219,0.28800000000000003,0.254,0.0,0.0,0.0,0.0,0.0
46,694.0,4.778461168590125,0.19699999999999998,0.0,0.0,0.0,0.256,0.184,0.223,0.0,0.0,0.0,0.0,0.136
47,698.0,4.720187077902779,0.168,0.171,0.213,0.175,0.17800000000000002,0.16899999999999998,0.141,0.0,0.0,0.188,0.203,0.0
48,704.0,4.622237616993765,0.17600000000000002,0.0,0.12,0.162,0.207,0.17300000000000001,0.0,0.17600000000000002,0.25,0.21899999999999997,0.159,0.10300000000000001
49,706.0,4.577088592204344,0.159,0.152,0.191,0.0,0.17800000000000002,0.15,0.0,0.221,0.265,0.149,0.132,0.0
50,708.0,4.5521323230353365,0.195,0.192,0.0,0.188,0.177,0.0,0.209,0.21899999999999997,0.193,0.218,0.0,0.15
51,711.0,4.5018149150263636,0.208,0.119,0.14,0.136,0.0,0.153,0.166,0.264,0.245,0.259,0.17600000000000002,0.208
52,712.0,4.48942163564651,0.201,0.12300000000000001,0.125,0.134,0.12,0.0,0.179,0.256,0.251,0.27699999999999997,0.0,0.177
53,714.0,4.451988877090199,0.198,0.192,0.117,0.17,0.139,0.0,0.206,0.281,0.24,0.131,0.0,0.213
54,716.0,4.425636673797189,0.242,0.126,0.0,0.175,0.0,0.12300000000000001,0.214,0.237,0.136,0.107,0.11699999999999999,0.243
55,718.0,4.384017668022734,0.175,0.135,0.0,0.0,0.147,0.146,0.196,0.198,0.118,0.141,0.187,0.28600000000000003
56,720.0,4.356077168016793,0.17300000000000001,0.0,0.0,0.132,0.14400000000000002,0.168,0.146,0.183,0.191,0.14800000000000002,0.24600000000000002,0.182
57,722.0,4.328017673411098,0.166,0.0,0.134,0.131,0.188,0.108,0.129,0.257,0.221,0.262,0.151,0.181
58,724.0,4.282832647088027,0.163,0.16,0.146,0.172,0.0,0.141,0.0,0.138,0.18,0.2,0.22699999999999998,0.28800000000000003
59,726.0,4.251573740401522,0.17600000000000002,0.13,0.218,0.0,0.141,0.0,0.142,0.246,0.205,0.192,0.246,0.223
60,728.0,4.218546832503941,0.12300000000000001,0.138,0.145,0.203,0.19,0.134,0.21899999999999997,0.14800000000000002,0.122,0.2,0.271,0.21100000000000002
61,731.0,4.1837560100917885,0.14800000000000002,0.16399999999999998,0.244,0.162,0.14400000000000002,0.18,0.0,0.127,0.183,0.232,0.235,0.183
62,732.0,4.166252624258076,0.156,0.218,0.213,0.163,0.147,0.11699999999999999,0.0,0.135,0.215,0.153,0.187,0.215
63,734.0,4.129379642199092,0.132,0.0,0.215,0.149,0.138,0.195,0.0,0.251,0.109,0.0,0.255,0.0
64,736.0,4.090517576788267,0.0,0.184,0.161,0.133,0.20199999999999999,0.16699999999999998,0.198,0.139,0.156,0.19399999999999998,0.0,0.0
65,739.0,4.051387253346471,0.129,0.0,0.14400000000000002,0.242,0.16699999999999998,0.14400000000000002,0.0,0.111,0.134,0.123,0.0,0.0
66,740.0,4.031717654255528,0.172,0.0,0.20800000000000002,0.212,0.146,0.172,0.114,0.11,0.125,0.145,0.136,0.0
67,742.0,3.9921703326700086,0.189,0.245,0.224,0.13,0.0,0.17600000000000002,0.212,0.158,0.157,0.0,0.0,0.0
68,744.0,3.9703123977296446,0.21899999999999997,0.24100000000000002,0.177,0.165,0.14800000000000002,0.243,0.222,0.141,0.0,0.11699999999999999,0.115,0.187
69,746.0,3.9263621640915054,0.168,0.18,0.179,0.166,0.172,0.255,0.0,0.157,0.0,0.121,0.113,0.0
70,748.0,3.904236747925157,0.162,0.19399999999999998,0.14400000000000002,0.151,0.22,0.242,0.154,0.12,0.0,0.0,0.141,0.0
71,751.0,3.8597869359163535,0.155,0.0,0.111,0.0,0.0,0.217,0.161,0.225,0.0,0.18,0.161,0.16
72,752.0,3.837429450196413,0.0,0.138,0.124,0.185,0.23199999999999998,0.184,0.27899999999999997,0.0,0.0,0.159,0.182,0.215
73,755.0,3.79021115421336,0.0,0.0,0.136,0.203,0.266,0.202,0.135,0.16699999999999998,0.163,0.219,0.138,0.152
74,756.0,3.765320039697933,0.156,0.14400000000000002,0.166,0.298,0.226,0.0,0.19,0.182,0.239,0.225,0.17300000000000001,0.17
75,758.0,3.7403442402838434,0.17800000000000002,0.17,0.252,0.242,0.247,0.233,0.194,0.17800000000000002,0.264,0.229,0.146,0.163
76,761.0,3.6900396490094094,0.14400000000000002,0.12,0.0,0.172,0.25,0.22699999999999998,0.204,0.289,0.293,0.17800000000000002,0.188,0.213
77,763.0,3.6647448434540313,0.149,0.126,0.161,0.18,0.183,0.174,0.262,0.275,0.199,0.139,0.13,0.166
78,764.0,3.6393332294665535,0.129,0.14,0.153,0.151,0.0,0.21100000000000002,0.24,0.23800000000000002,0.19899999999999998,0.128,0.131,0.188
79,766.0,3.611243287317557,0.156,0.131,0.0,0.177,0.185,0.2,0.158,0.264,0.0,0.147,0.153,0.219
80,768.0,3.5830408109660965,0.0,0.11900000000000001,0.157,0.17800000000000002,0.195,0.16899999999999998,0.182,0.268,0.18,0.161,0.228,0.21100000000000002
81,770.0,3.5406764130714983,0.196,0.189,0.163,0.162,0.191,0.156,0.313,0.292,0.197,0.231,0.16899999999999998,0.192
82,772.0,3.5122938050100214,0.243,0.158,0.17600000000000002,0.23199999999999998,0.122,0.196,0.262,0.235,0.23,0.198,0.212,0.298
83,774.0,3.480915262767496,0.155,0.206,0.27,0.166,0.0,0.0,0.181,0.214,0.183,0.181,0.261,0.247
84,776.0,3.4493642568072502,0.196,0.215,0.179,0.228,0.18,0.139,0.195,0.0,0.163,0.221,0.252,0.242
85,778.0,3.4176414378115427,0.188,0.0,0.195,0.219,0.165,0.161,0.166,0.16699999999999998,0.243,0.278,0.321,0.315
86,780.0,3.384160105599035,0.17,0.223,0.188,0.22899999999999998,0.136,0.0,0.147,0.17800000000000002,0.248,0.353,0.325,0.285
87,782.0,3.3488592409068514,0.241,0.219,0.256,0.174,0.21,0.133,0.0,0.0,0.246,0.335,0.31,0.274
88,784.0,3.313394622547607,0.299,0.162,0.165,0.19899999999999998,0.0,0.136,0.159,0.16399999999999998,0.25,0.262,0.292,0.309
