,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,602.0,6.296819541234349,0.0,0.249,0.285,0.0,0.28600000000000003,0.182,0.0,0.0,0.0,0.403,0.262,0.162
1,604.0,6.257021370782392,0.21600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.0,0.23,0.256,0.166
2,608.0,6.198067183682968,0.16399999999999998,0.0,0.184,0.0,0.175,0.289,0.278,0.0,0.174,0.0,0.279,0.28300000000000003
3,610.0,6.166826674452982,0.159,0.134,0.0,0.191,0.26,0.29,0.3,0.23199999999999998,0.0,0.20199999999999999,0.251,0.0
4,612.0,6.133891202463207,0.0,0.195,0.0,0.235,0.241,0.35100000000000003,0.293,0.16899999999999998,0.188,0.242,0.0,0.0
5,614.0,6.100719280344513,0.18899999999999997,0.0,0.226,0.257,0.36200000000000004,0.376,0.192,0.16,0.302,0.0,0.0,0.21100000000000002
6,616.0,6.067346103953526,0.166,0.21600000000000005,0.18,0.328,0.385,0.0,0.0,0.317,0.23,0.0,0.239,0.207
7,618.0,6.032072868913223,0.222,0.133,0.24600000000000002,0.423,0.0,0.222,0.28800000000000003,0.141,0.146,0.19,0.0,0.21899999999999997
8,620.0,5.9948320266449295,0.192,0.243,0.209,0.0,0.26,0.23,0.0,0.0,0.0,0.183,0.235,0.28
9,622.0,5.957324003606695,0.27699999999999997,0.184,0.18600000000000005,0.0,0.16399999999999998,0.0,0.198,0.0,0.159,0.23199999999999998,0.21899999999999997,0.204
10,624.0,5.9365639909968575,0.217,0.0,0.0,0.0,0.202,0.213,0.0,0.0,0.211,0.185,0.185,0.274
11,626.0,5.894811696137233,0.0,0.182,0.212,0.265,0.0,0.157,0.214,0.332,0.263,0.231,0.27899999999999997,0.192
12,629.0,5.85272746861963,0.0,0.224,0.162,0.187,0.0,0.301,0.326,0.29100000000000004,0.212,0.195,0.281,0.3
13,630.0,5.829423163299706,0.242,0.187,0.247,0.207,0.281,0.293,0.354,0.26899999999999996,0.249,0.233,0.265,0.29100000000000004
14,632.0,5.806019824366869,0.0,0.222,0.26,0.329,0.0,0.28,0.322,0.267,0.0,0.195,0.266,0.203
15,634.0,5.758847580686567,0.188,0.276,0.275,0.218,0.18600000000000005,0.217,0.182,0.213,0.198,0.24600000000000002,0.0,0.0
16,636.0,5.735113676933862,0.199,0.0,0.201,0.0,0.219,0.197,0.0,0.202,0.21600000000000005,0.195,0.0,0.0
17,639.0,5.687351268637958,0.23800000000000002,0.262,0.201,0.0,0.156,0.242,0.179,0.124,0.221,0.184,0.157,0.0
18,640.0,5.674282004200253,0.219,0.251,0.0,0.201,0.191,0.212,0.135,0.0,0.0,0.189,0.16699999999999998,0.18
19,642.0,5.63487750476342,0.264,0.262,0.0,0.15,0.0,0.0,0.16,0.0,0.204,0.21600000000000005,0.215,0.21899999999999997
20,644.0,5.607096887071627,0.319,0.204,0.242,0.191,0.0,0.0,0.0,0.185,0.0,0.245,0.238,0.25
21,646.0,5.563197273837341,0.174,0.207,0.0,0.0,0.0,0.188,0.20199999999999999,0.0,0.179,0.23,0.17600000000000002,0.243
22,648.0,5.532228479342441,0.225,0.0,0.0,0.0,0.175,0.28800000000000003,0.156,0.0,0.182,0.175,0.268,0.218
23,650.0,5.499580009312712,0.0,0.155,0.0,0.192,0.21899999999999997,0.185,0.0,0.18100000000000002,0.125,0.191,0.259,0.22
24,652.0,5.4667717357004335,0.128,0.0,0.161,0.0,0.16699999999999998,0.0,0.0,0.0,0.255,0.187,0.228,0.146
25,654.0,5.4320458104529035,0.145,0.0,0.261,0.222,0.0,0.198,0.15,0.132,0.166,0.147,0.16,0.17800000000000002
26,656.0,5.395473989249358,0.0,0.213,0.28,0.188,0.22,0.188,0.181,0.16399999999999998,0.0,0.211,0.187,0.195
27,658.0,5.377073878453867,0.127,0.251,0.28800000000000003,0.22399999999999998,0.0,0.18,0.0,0.0,0.135,0.182,0.18600000000000005,0.16
28,660.0,5.338220697323426,0.298,0.258,0.159,0.0,0.22899999999999998,0.228,0.233,0.0,0.0,0.188,0.146,0.162
29,660.0,5.338220697323426,0.298,0.258,0.159,0.0,0.229,0.228,0.233,0.0,0.0,0.188,0.146,0.162
30,662.0,5.297253698952362,0.147,0.0,0.0,0.194,0.267,0.197,0.0,0.0,0.196,0.181,0.199,0.281
31,664.0,5.276641111204341,0.0,0.0,0.0,0.247,0.205,0.0,0.0,0.155,0.0,0.166,0.223,0.188
32,666.0,5.235158502612744,0.191,0.0,0.0,0.168,0.0,0.194,0.0,0.13,0.207,0.16699999999999998,0.0,0.0
