,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,692.0,4.806664730570148,0.0,0.423,0.374,0.341,0.314,0.28,0.332,0.0,0.257,0.0,0.0,0.0
1,694.0,4.778461168590125,0.0,0.386,0.348,0.35,0.0,0.393,0.0,0.374,0.336,0.223,0.0,0.0
2,698.0,4.720187077902779,0.0,0.287,0.0,0.45,0.412,0.445,0.0,0.0,0.237,0.261,0.0,0.231
3,700.0,4.689300957922461,0.0,0.0,0.0,0.328,0.0,0.261,0.266,0.254,0.267,0.378,0.331,0.257
4,702.0,4.644673480769162,0.3226339801853312,0.0,0.297,0.0,0.0,0.333,0.326,0.0,0.374,0.334,0.347,0.348
5,704.0,4.622237616993765,0.3477337601300754,0.385,0.0,0.35,0.0,0.0,0.291,0.385,0.287,0.373,0.339,0.407
6,706.0,4.577088592204344,0.3425456297839657,0.43,0.424,0.304,0.0,0.0,0.267,0.0,0.4,0.0,0.286,0.409
7,708.0,4.552132323035337,0.0,0.489,0.0,0.0,0.39,0.0,0.0,0.336,0.0,0.0,0.28,0.248
8,711.0,4.501814915026364,0.3260186375202102,0.314,0.399,0.445,0.442,0.0,0.0,0.296,0.0,0.346,0.341,0.0
9,712.0,4.48942163564651,0.0,0.372,0.303,0.419,0.514,0.0,0.0,0.0,0.263,0.308,0.329,0.0
10,714.0,4.451988877090198,0.3914960412848109,0.326,0.34,0.267,0.279,0.43,0.0,0.0,0.0,0.362,0.465,0.0
11,716.0,4.425636673797188,0.3799961313636659,0.405,0.407,0.285,0.0,0.302,0.329,0.0,0.0,0.297,0.427,0.446
12,718.0,4.384017668022734,0.4816670384671779,0.456,0.425,0.321,0.356,0.26,0.232,0.431,0.406,0.0,0.286,0.395
13,720.0,4.356077168016794,0.4105926108328371,0.39,0.583,0.0,0.384,0.283,0.268,0.0,0.324,0.382,0.352,0.405
14,722.0,4.328017673411098,0.4249604651535405,0.346,0.294,0.524,0.478,0.0,0.0,0.0,0.313,0.34,0.311,0.42
15,724.0,4.282832647088027,0.4008148496790799,0.352,0.0,0.224,0.243,0.424,0.633,0.264,0.326,0.374,0.359,0.367
16,726.0,4.251573740401522,0.4057993034634937,0.373,0.392,0.285,0.254,0.0,0.43,0.534,0.448,0.0,0.441,0.496
17,728.0,4.218546832503941,0.5477192811303777,0.523,0.486,0.414,0.487,0.354,0.404,0.325,0.537,0.0,0.0,0.367
18,731.0,4.183756010091789,0.4149088684349721,0.514,0.677,0.655,0.395,0.439,0.472,0.357,0.0,0.458,0.459,0.293
19,732.0,4.166252624258075,0.3539299857694084,0.454,0.59,0.665,0.498,0.379,0.437,0.456,0.345,0.0,0.378,0.326
20,734.0,4.129379642199092,0.3581548635884268,0.426,0.364,0.42,0.491,0.581,0.584,0.483,0.418,0.431,0.0,0.307
21,736.0,4.090517576788267,0.4295514642911571,0.281,0.405,0.0,0.359,0.0,0.489,0.581,0.403,0.439,0.423,0.0
22,739.0,4.051387253346471,0.3805182932620631,0.462,0.313,0.0,0.249,0.398,0.263,0.338,0.479,0.511,0.522,0.394
23,740.0,4.031717654255528,0.3102696342704001,0.483,0.509,0.256,0.277,0.446,0.35,0.0,0.342,0.473,0.0,0.524
24,742.0,3.9921703326700086,0.0,0.319,0.434,0.482,0.495,0.399,0.294,0.605,0.392,0.0,0.368,0.465
25,744.0,3.9703123977296446,0.4348466489813041,0.0,0.0,0.437,0.501,0.542,0.461,0.396,0.473,0.373,0.361,0.379
26,746.0,3.926362164091506,0.4303992777553261,0.403,0.0,0.443,0.41,0.427,0.37,0.585,0.354,0.35,0.294,0.498
27,748.0,3.904236747925157,0.4906035989293406,0.382,0.414,0.322,0.454,0.374,0.411,0.382,0.41,0.444,0.271,0.351
28,751.0,3.859786935916354,0.3471408741855172,0.428,0.533,0.405,0.388,0.429,0.459,0.279,0.352,0.338,0.475,0.463
29,752.0,3.837429450196412,0.4819634044100798,0.481,0.509,0.478,0.424,0.387,0.443,0.392,0.383,0.361,0.394,0.494
30,755.0,3.79021115421336,0.429918590227018,0.463,0.543,0.676,0.421,0.0,0.469,0.371,0.42,0.312,0.357,0.0
31,756.0,3.765320039697933,0.4226152500507623,0.0,0.52,0.455,0.503,0.51,0.474,0.448,0.54,0.42,0.337,0.482
32,758.0,3.740344240283843,0.5730896522952386,0.481,0.307,0.445,0.511,0.472,0.423,0.356,0.514,0.594,0.388,0.453
33,761.0,3.6900396490094094,0.0,0.471,0.486,0.367,0.314,0.384,0.489,0.241,0.294,0.258,0.504,0.49
34,763.0,3.664744843454031,0.5245858154904924,0.348,0.312,0.377,0.471,0.357,0.457,0.407,0.0,0.0,0.0,0.513
35,764.0,3.639333229466553,0.4158276454142027,0.563,0.493,0.0,0.43,0.497,0.429,0.471,0.327,0.0,0.289,0.0
