,Snapshot,Lookback,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,692.0,4.806664730570148,0.0,0.328,0.418,0.335,0.436,0.386,0.497,0.44,0.416,0.442,0.317,0.518
1,694.0,4.778461168590125,0.0,0.0,0.0,0.345,0.303,0.394,0.345,0.472,0.497,0.554,0.516,0.369
2,698.0,4.720187077902779,0.3659220301636198,0.332,0.0,0.0,0.303,0.0,0.331,0.459,0.314,0.353,0.505,0.475
3,700.0,4.689300957922461,0.6273444685720306,0.389,0.0,0.466,0.48,0.498,0.39,0.356,0.0,0.0,0.0,0.478
4,702.0,4.644673480769162,0.3451563109139474,0.36,0.431,0.558,0.533,0.573,0.548,0.0,0.323,0.287,0.0,0.241
5,704.0,4.622237616993765,0.37006706582986,0.38,0.345,0.566,0.487,0.477,0.537,0.0,0.0,0.382,0.334,0.32
6,706.0,4.577088592204344,0.5232471844384541,0.376,0.39,0.443,0.351,0.478,0.53,0.518,0.524,0.0,0.447,0.413
7,708.0,4.552132323035337,0.5086377685859738,0.526,0.443,0.426,0.573,0.314,0.491,0.509,0.443,0.326,0.423,0.438
8,711.0,4.501814915026364,0.3966322101981144,0.0,0.431,0.523,0.649,0.587,0.483,0.0,0.0,0.359,0.571,0.5
9,712.0,4.48942163564651,0.3963412578915222,0.381,0.0,0.475,0.617,0.583,0.499,0.392,0.0,0.243,0.395,0.433
10,714.0,4.451988877090198,0.0,0.402,0.274,0.331,0.0,0.286,0.472,0.559,0.631,0.452,0.415,0.497
11,716.0,4.425636673797188,0.5672217113216917,0.456,0.0,0.339,0.0,0.359,0.315,0.488,0.537,0.494,0.607,0.498
12,718.0,4.384017668022734,0.5940506028520668,0.0,0.0,0.607,0.364,0.263,0.299,0.0,0.323,0.375,0.392,0.536
13,720.0,4.356077168016794,0.5051963336094858,0.476,0.0,0.503,0.485,0.512,0.269,0.0,0.427,0.358,0.307,0.427
14,722.0,4.328017673411098,0.0,0.447,0.483,0.0,0.0,0.0,0.571,0.521,0.279,0.379,0.249,0.313
15,724.0,4.282832647088027,0.5556072082125842,0.412,0.345,0.389,0.357,0.39,0.0,0.0,0.685,0.678,0.0,0.345
16,726.0,4.251573740401522,0.4550330119485464,0.392,0.375,0.328,0.351,0.371,0.339,0.473,0.0,0.656,0.518,0.488
17,728.0,4.218546832503941,0.5446677996491776,0.43,0.383,0.445,0.443,0.0,0.352,0.366,0.0,0.0,0.368,0.445
18,731.0,4.183756010091789,0.0,0.432,0.0,0.0,0.45,0.392,0.378,0.0,0.374,0.467,0.39,0.0
19,732.0,4.166252624258075,0.3543605766080989,0.361,0.508,0.0,0.0,0.389,0.485,0.382,0.29,0.439,0.333,0.347
20,734.0,4.129379642199092,0.5610616614855896,0.401,0.466,0.532,0.424,0.318,0.429,0.418,0.52,0.493,0.362,0.425
21,736.0,4.090517576788267,0.5958183076997207,0.584,0.429,0.355,0.403,0.549,0.312,0.0,0.344,0.45,0.352,0.558
22,739.0,4.051387253346471,0.0,0.483,0.494,0.473,0.452,0.438,0.479,0.399,0.4,0.467,0.425,0.378
23,740.0,4.031717654255528,0.4998973377375114,0.0,0.477,0.493,0.394,0.339,0.309,0.282,0.457,0.412,0.476,0.0
24,742.0,3.9921703326700086,0.4773719834381039,0.0,0.423,0.422,0.411,0.0,0.465,0.503,0.294,0.0,0.0,0.463
25,744.0,3.9703123977296446,0.5409033187015342,0.0,0.341,0.477,0.508,0.362,0.363,0.467,0.578,0.0,0.458,0.507
26,746.0,3.926362164091506,0.4096290824975185,0.547,0.481,0.358,0.486,0.614,0.678,0.347,0.482,0.607,0.497,0.376
27,748.0,3.904236747925157,0.4755753083020597,0.571,0.512,0.498,0.392,0.426,0.695,0.537,0.45,0.467,0.449,0.453
28,751.0,3.859786935916354,0.0,0.0,0.415,0.411,0.494,0.476,0.343,0.367,0.519,0.523,0.398,0.522
29,752.0,3.837429450196412,0.0,0.373,0.0,0.433,0.315,0.395,0.468,0.483,0.0,0.0,0.0,0.411
30,755.0,3.79021115421336,0.5162928190395291,0.453,0.454,0.425,0.574,0.0,0.464,0.541,0.51,0.437,0.445,0.378
31,756.0,3.765320039697933,0.4534120604160093,0.588,0.59,0.439,0.53,0.523,0.466,0.498,0.609,0.505,0.484,0.407
32,758.0,3.740344240283843,0.4931226279809621,0.591,0.648,0.493,0.398,0.389,0.551,0.439,0.429,0.425,0.705,0.624
33,761.0,3.6900396490094094,0.4691986038136363,0.476,0.41,0.561,0.47,0.445,0.342,0.0,0.512,0.571,0.364,0.453
34,763.0,3.664744843454031,0.0,0.465,0.393,0.555,0.497,0.411,0.46,0.316,0.0,0.548,0.606,0.42
35,764.0,3.639333229466553,0.5480616075305803,0.0,0.402,0.507,0.598,0.359,0.499,0.389,0.363,0.373,0.496,0.565
